TEAM,NATIONALITY,POSITION,AGE,POTENTIAL,NAME
Gazisehir Gaziantep Futbol Kulübü ,Turkey,Portero,36,Bueno,Haydar Yilmaz
FC Ingolstadt 04 ,Germany,Defensa lateral|Defensa lateral (lateral derecha)|Mediocampista lateral (Mediocampista derecho),26,Bueno,Peter Kurzweg
SpVgg Unterhaching ,Germany,Extremo|Mediocampista lateral (Mediocampista derecho)|Mediocampista central|Extremo (Extremo izquierdo),27,Bueno,Felix Müller
Hallescher FC ,Germany,Defensa lateral (lateral derecha)|Defensa central|Mediocampista lateral (Mediocampista derecho),24,Bueno,Niklas Landgraf
HJK Helsinki ,Japan,Mediocampista lateral (Mediocampista derecho),32,Bueno,Atomu Tanaka
Barnsley ,Finland,Defensa central|Mediocampista defensivo,22,Bueno,Aapo Halme
1. FC Kaiserslautern ,Germany,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho)|Mediocampista central,29,Bueno,Simon Skarlatidis
1. FC Magdeburg ,Bosnia & Herzegovina,Delantero|Mediocampista central|Mediocampista ofensivo,28,Bueno,Mario Kvesic
Portsmouth ,England,Defensa lateral (lateral derecha)|Extremo|Extremo (Extremo izquierdo),22,Bueno,Steve Seddon
FC Seoul ,Korea Republic,Delantero|Mediocampista central|Extremo (Extremo izquierdo),21,Bueno,Cho Young Wook
Real Racing Club ,Spain,Lateral (lateral izquierdo)|Defensa lateral|Extremo (Extremo derecho),23,Bueno,David Carmona
Rosario Central ,Argentina,Mediocampista defensivo|Mediocampista central,22,Bueno,Emanuel Ojeda
CD Palestino ,Chile,Delantero,23,Bueno,Renato Tarifeño
Chapecoense ,Brazil,Mediocampista defensivo,28,Bueno,Josimar Feijoo
Castellammare di Stabia ,Italy,Delantero,23,Bueno,Alessandro Rossi
Cremona ,Italy,Delantero,24,Bueno,Simone Palombi
Atlético Bucaramanga ,Colombia,Mediocampista lateral (Mediocampista derecho)|Mediocampista ofensivo,22,Bueno,Juan Pablo Ramírez
Deportivo Toluca ,Mexico,Defensa lateral|Defensa central,22,Bueno,Luis Hernández
CS Emelec ,Ecuador,Mediocampista lateral (Mediocampista derecho)|Mediocampista central,22,Bueno,Joao Rojas
FC Ingolstadt 04 ,Germany,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),22,Bueno,Agyemang Diawusie
Vegalta Sendai ,Japan,Delantero,28,Bueno,Shuhei Akasaki
Kawasaki Frontale ,Japan,Defensa central,26,Bueno,Miki Yamane
Oita Trinita ,Japan,Defensa central,29,Bueno,Yuto Misao
Barnsley ,Australia,Mediocampista defensivo|Mediocampista central,27,Bueno,Kenny Dougall
SC Heerenveen ,Netherlands,Defensa lateral|Defensa lateral (lateral derecha),21,Bueno,Sherel Floranus
Boca Juniors ,Argentina,Lateral (lateral izquierdo)|Defensa lateral|Extremo (Extremo derecho),22,Bueno,Nahuel Molina
CD Lugo ,Spain,Mediocampista defensivo|Mediocampista central,28,Bueno,Borja Domínguez
Daegu FC ,Korea Republic,Delantero|Extremo (Extremo izquierdo),23,Bueno,Kim Dae Won
Vegalta Sendai ,Japan,Defensa lateral (lateral derecha)|Mediocampista defensivo|Mediocampista central,26,Bueno,Yoshiki Matsushita
Gamba Osaka ,Japan,Delantero|Mediocampista lateral (Mediocampista derecho),33,Bueno,Kazuma Watanabe
Kashima Antlers ,Japan,Defensa lateral (lateral derecha)|Defensa central,22,Bueno,Koki Machida
Guangzhou Evergrande Taobao FC ,China PR,Defensa lateral (lateral derecha)|Defensa central,24,Bueno,Gao Zhunyi
FK Austria Wien ,Austria,Mediocampista central|Mediocampista ofensivo|Extremo (Extremo izquierdo),23,Bueno,Dominik Prokop
Vissel Kobe ,Japan,Portero,34,Bueno,Hiroki Iikura
Nagoya Grampus ,Brazil,Delantero|Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),25,Bueno,Mateus
Stade Malherbe Caen ,Senegal,Defensa central,25,Bueno,Pape Djibril Diaw
Júbilo Iwata ,Brazil,Defensa central,31,Bueno,Fabio
Shonan Bellmare ,Japan,Mediocampista defensivo|Mediocampista lateral|Mediocampista central,28,Bueno,Akito Fukuta
Fotbal Club Boto?ani ,Argentina,Mediocampista defensivo|Mediocampista central,23,Bueno,Juan Bautista Cascini
Sanfrecce Hiroshima ,Japan,Defensa lateral|Defensa central|Mediocampista lateral (Mediocampista derecho),31,Bueno,Kohei Shimizu
Suwon Samsung Bluewings ,Korea Republic,Mediocampista lateral|Mediocampista central,26,Bueno,Ko Seung Beom
Kashima Antlers ,Japan,Defensa lateral|Mediocampista defensivo|Mediocampista central,25,Bueno,Kei Koizumi
Sagan Tosu ,Japan,Portero,29,Bueno,Tatsuya Morita
Unión de Santa Fe ,Argentina,Portero,21,Bueno,Marcos Peano
Yokohama F·Marinos ,Japan,Portero,29,Bueno,Yuji Kajikawa
Fotbal Club Voluntari ,Netherlands,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho)|Extremo (Extremo derecho),25,Bueno,Moussa Sanoh
Sagan Tosu ,Japan,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),25,Bueno,Tomoya Koyamatsu
Racing Club de Lens ,Brazil,Defensa lateral (lateral derecha)|Extremo|Extremo (Extremo izquierdo),26,Bueno,Vítor Costa
Club Atlético Tigre ,Argentina,Delantero|Mediocampista lateral,32,Bueno,Emanuel Dening
AIK ,Sweden,Delantero|Mediocampista lateral (Mediocampista derecho),30,Bueno,Stefan Silva
AFC Bournemouth ,Republic of Ireland,Portero,21,Bueno,Mark Travers
Deportes Tolima ,Colombia,Mediocampista defensivo|Mediocampista central,28,Bueno,Juan David Ríos
Havre Athletic Club ,Congo,Defensa central,24,Bueno,Fernand Mayembo
Toronto FC ,Canada,Lateral (lateral izquierdo)|Defensa lateral|Mediocampista lateral|Extremo (Extremo derecho),25,Bueno,Richie Laryea
Club Atlético Central Córdoba ,Venezuela,Defensa lateral|Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),30,Bueno,Dany Cure
Toronto FC ,Japan,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho)|Mediocampista central,26,Bueno,Tsubasa Endoh
Neuchâtel Xamax FCS ,Latvia,Defensa central,29,Bueno,Marcis Ošs
Exeter City ,England,Lateral (lateral izquierdo)|Mediocampista lateral|Extremo (Extremo derecho),23,Bueno,Randell Williams
Rayo Vallecano ,Spain,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho)|Mediocampista ofensivo,21,Bueno,Joni Montiel
Swansea City ,England,Mediocampista lateral (Mediocampista derecho)|Mediocampista ofensivo,21,Bueno,Yan Dhanda
IF Elfsborg ,Sweden,Mediocampista lateral|Extremo (Extremo derecho),22,Bueno,Jesper Karlsson
Aston Villa ,England,Delantero,22,Bueno,Keinan Davis
La Equidad ,Colombia,Mediocampista ofensivo,24,Bueno,Kevin Salazar
Atlético Bucaramanga ,Colombia,Portero,28,Bueno,James Aguirre
Racing Club de Lens ,France,Delantero,23,Bueno,Simon Banza
Holstein Kiel ,Germany,Delantero|Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),22,Bueno,Fabian Reese
Hammarby IF ,Sweden,Defensa lateral (lateral derecha),26,Bueno,Dennis Widgren
Granada CF ,Portugal,Portero,24,Bueno,João Costa
Valenciennes FC ,Ghana,Defensa lateral|Defensa central,24,Bueno,Emmanuel Ntim
Oxford United ,England,Mediocampista lateral (Mediocampista derecho)|Extremo (Extremo izquierdo),22,Bueno,Marcus Browne
VfL Bochum 1848 ,Serbia,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho)|Mediocampista ofensivo,24,Bueno,Miloš Pantovic
En Avant Guingamp ,France,Defensa lateral (lateral derecha)|Extremo|Extremo (Extremo izquierdo),23,Bueno,Morgan Poaty
Real Racing Club ,Spain,Defensa central,26,Bueno,Olaortua
CD Numancia ,Spain,Defensa lateral (lateral derecha)|Defensa central,26,Bueno,Adri Castellano
U Craiova 1948 Club Sportiv ,Romania,Delantero,28,Bueno,Mihai Roman
Brisbane Roar ,Australia,Mediocampista central,22,Bueno,Aiden O'Neill
CD Numancia ,Spain,Defensa lateral|Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),27,Bueno,Nacho
Korona Kielce ,Slovenia,Delantero|Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),26,Bueno,Matej Pucko
Free Agents ,Hungary,Mediocampista defensivo,24,Bueno,Máté Vida
Trapani ,Italy,Defensa lateral|Defensa central,24,Bueno,Roberto Pirrello
Deportivo Cali ,Colombia,Delantero|Mediocampista lateral,25,Bueno,Jhon Vásquez
Santa Clara ,Brazil,Delantero|Extremo (Extremo izquierdo),24,Bueno,Crysan
Sheffield Wednesday ,Netherlands,Delantero|Extremo (Extremo izquierdo),23,Bueno,Alessio Da Cruz
Botafogo ,Brazil,Delantero,24,Bueno,Flávio Triginho
Goiás ,Brazil,Delantero|Extremo (Extremo izquierdo),32,Bueno,Emílio Trevões
Fortaleza ,Brazil,Delantero,28,Bueno,Danilo Sacrio
Cruzeiro ,Brazil,Delantero,24,Bueno,Lorenzao Masca
Bahia ,Brazil,Defensa central|Mediocampista defensivo,28,Bueno,Nazario Serpe
Palmeiras ,Brazil,Mediocampista lateral,20,Bueno,Pedro Sousenha
Deportes Tolima ,Colombia,Defensa lateral (lateral derecha)|Mediocampista lateral (Mediocampista derecho),29,Bueno,Leyvin Balanta
Goiás ,Brazil,Mediocampista lateral (Mediocampista derecho)|Mediocampista ofensivo,24,Bueno,Dilson Calegari
Ceará Sporting Club ,Brazil,Defensa lateral|Defensa central,20,Bueno,Edenildo Lagoas
Club Athletico Paranaense ,Brazil,Defensa lateral,20,Bueno,Botelhinonsa
Ceará Sporting Club ,Brazil,Defensa lateral|Defensa lateral (lateral derecha),20,Bueno,Narcisso Mau
Avaí ,Brazil,Portero,32,Bueno,Jailson Acuna
Zaglebie Lubin ,Serbia,Mediocampista central|Extremo (Extremo derecho),24,Bueno,Dejan Drazic
Paris FC ,France,Portero,22,Bueno,Anthony Maisonnial
1. FC Kaiserslautern ,Germany,Defensa lateral|Mediocampista lateral,23,Bueno,Dominik Schad
Real Racing Club ,Spain,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),26,Bueno,Nando García
FC St. Gallen 1879 ,Ghana,Portero,23,Bueno,Lawrence Ati Zigi
Pordenone ,Italy,Defensa lateral (lateral derecha)|Defensa central|Mediocampista lateral (Mediocampista derecho),25,Bueno,Andrea Gasbarro
Bolton Wanderers ,England,Defensa lateral,22,Bueno,Joshua Emmanuel
Ipswich Town ,England,Defensa lateral (lateral derecha)|Extremo|Extremo (Extremo izquierdo),23,Bueno,Myles Kenlock
Vitesse ,Netherlands,Defensa lateral,23,Bueno,Julian Lelieveld
R. Oviedo ,Spain,Defensa lateral|Mediocampista lateral,25,Bueno,Lucas Ahijado
1. FC Union Berlin ,Norway,Defensa lateral|Mediocampista defensivo|Mediocampista lateral,22,Bueno,Julian Ryerson
Aarhus AGF ,Denmark,Defensa lateral,22,Bueno,Alexander Munksgaard
Extremadura UD ,Spain,Delantero,24,Bueno,Óscar Pinchi
Colo-Colo ,Chile,Delantero,30,Bueno,Javier Parraguez
Club Necaxa ,Mexico,Defensa lateral|Mediocampista central,25,Bueno,Ricardo Chávez
Club León ,Mexico,Defensa lateral (lateral derecha),23,Bueno,Osvaldo Rodríguez
FC Ingolstadt 04 ,Austria,Defensa lateral|Defensa central,28,Bueno,Nico Antonitsch
FC Luzern ,Germany,Mediocampista defensivo|Mediocampista central,23,Bueno,Tsiy-William Ndenge
Wolverhampton Wanderers ,Nigeria,Mediocampista ofensivo,22,Bueno,Bright Enobakhare
FK Austria Wien ,Austria,Defensa central,25,Bueno,Christian Schoissengeyr
Hannover 96 ,Germany,Delantero|Defensa lateral (lateral derecha)|Mediocampista lateral (Mediocampista derecho),23,Bueno,Philipp Ochs
Piast Gliwice ,Slovenia,Defensa central,33,Bueno,Uroš Korun
FC Thun ,Switzerland,Delantero,27,Bueno,Simone Rapp
Portland Timbers ,Venezuela,Mediocampista defensivo|Mediocampista lateral|Mediocampista central,25,Bueno,Renzo Zambrano
Barnsley ,Germany,Mediocampista central|Mediocampista ofensivo,24,Bueno,Mike-Steven Bähre
Júbilo Iwata ,Brazil,Delantero,28,Bueno,Lukian
FC Carl Zeiss Jena ,Germany,Defensa lateral (lateral derecha)|Defensa central|Mediocampista defensivo,32,Bueno,Nico Hammann
Southend United ,England,Delantero,22,Bueno,Stephen Humphrys
Nagoya Grampus ,Japan,Delantero|Mediocampista ofensivo|Delantero central,31,Bueno,Ariajasuru Hasegawa
Blackpool ,England,Defensa lateral (lateral derecha)|Defensa central,23,Bueno,Jordan Thorniley
FC Würzburger Kickers ,Germany,Mediocampista defensivo|Mediocampista central|Mediocampista ofensivo,23,Bueno,Dave Gnaase
Atlanta United ,Republic of Ireland,Extremo|Mediocampista lateral (Mediocampista derecho)|Extremo (Extremo izquierdo),24,Bueno,Jake Mulraney
Fortuna Sittard ,Netherlands,Mediocampista defensivo|Mediocampista central,25,Bueno,Jorrit Smeets
Club Atlético Peñarol ,Uruguay,Defensa central,31,Bueno,Robert Herrera
SønderjyskE ,Denmark,Mediocampista lateral (Mediocampista derecho)|Mediocampista ofensivo,27,Bueno,Christian Jakobsen
Fortuna Sittard ,Slovakia,Defensa central,26,Bueno,Branislav Ninaj
Yeni Malatyaspor ,Turkey,Defensa lateral (lateral derecha)|Mediocampista lateral (Mediocampista derecho),28,Bueno,Sakib Aytaç
Esbjerg fB ,Denmark,Defensa central,27,Bueno,Søren Reese
Cittadella ,Italy,Delantero|Delantero central,23,Bueno,Giuseppe Panico
SSV Jahn Regensburg ,Germany,Defensa central|Mediocampista defensivo,23,Bueno,Benedikt Gimber
Colón de Santa Fe ,Argentina,Mediocampista lateral|Mediocampista ofensivo,25,Bueno,Agustín Doffo
CD Numancia ,Spain,Mediocampista defensivo|Mediocampista central,22,Bueno,Otegui
Universidad Católica ,Chile,Defensa lateral|Defensa lateral (lateral derecha),23,Bueno,Raimundo Rebolledo
Unión Española ,Chile,Extremo (Extremo izquierdo),22,Bueno,Felipe Fritz
FC St. Gallen 1879 ,Germany,Mediocampista lateral|Mediocampista central|Mediocampista ofensivo,26,Bueno,Lukas Görtler
Al Nassr ,Saudi Arabia,Defensa lateral (lateral derecha),27,Bueno,Abdulrahman Al Obaid
Al Ahli ,Saudi Arabia,Defensa central,26,Bueno,Mohammed Abdu Khubrani
Stabæk Fotball ,Norway,Defensa lateral|Defensa lateral (lateral derecha)|Defensa central,23,Bueno,Andreas Hanche-Olsen
Blackpool ,Republic of Ireland,Mediocampista lateral (Mediocampista derecho)|Mediocampista central|Mediocampista ofensivo,22,Bueno,Connor Ronan
Birmingham City ,England,Defensa lateral|Defensa central,23,Bueno,Wes Harding
Rionegro Águilas ,Colombia,Defensa lateral (lateral derecha),23,Bueno,Álvaro Angulo
Jeju United FC ,Korea Republic,Portero,32,Bueno,Oh Seung Hoon
CS Emelec ,Argentina,Defensa lateral (lateral derecha)|Defensa central,24,Bueno,Leandro Vega
Beijing Sinobo Guoan FC ,China PR,Delantero,23,Bueno,Zhang Yuning
Gangwon FC ,Korea Republic,Mediocampista lateral (Mediocampista derecho)|Mediocampista central,25,Bueno,Lee Yeong Jae
Jeonbuk Hyundai Motors ,Korea Republic,Mediocampista defensivo|Mediocampista central,23,Bueno,Jang Yun Ho
CD Tenerife ,Slovakia,Defensa lateral (lateral derecha),26,Bueno,Róbert Mazán
Trapani ,Italy,Mediocampista lateral (Mediocampista derecho)|Extremo (Extremo izquierdo),22,Bueno,Nicola Dalmonte
Patriotas Boyacá FC ,Colombia,Defensa lateral|Mediocampista defensivo|Mediocampista central,26,Bueno,Almir Soto
Mjøndalen IF ,Norway,Mediocampista defensivo|Mediocampista central,30,Bueno,Stian Aasmundsen
Rotherham United ,England,Mediocampista defensivo|Mediocampista central,23,Bueno,Daniel Barlaser
Club Atlético River Plate ,Uruguay,Mediocampista defensivo|Mediocampista central,30,Bueno,Maximiliano Calzada
Wisla Kraków ,Poland,Defensa central,24,Bueno,Lukas Klemenz
Hellas Verona ,Brazil,Defensa lateral (lateral derecha)|Defensa central,26,Bueno,Alan Empereur
Vancouver Whitecaps FC ,France,Mediocampista lateral (Mediocampista derecho)|Extremo (Extremo izquierdo),26,Bueno,David Milinkovic
Fotbal Club Boto?ani ,Croatia,Delantero,26,Bueno,Marko Dugandzic
Incheon United FC ,Korea Republic,Defensa lateral (lateral derecha)|Mediocampista lateral (Mediocampista derecho),29,Bueno,Kim Sung Ju
Marítimo ,Colombia,Mediocampista defensivo|Mediocampista central|Mediocampista ofensivo,24,Bueno,Diego Moreno
Club Atlético Banfield ,Argentina,Portero,24,Bueno,Facundo Altamirano
Cittadella ,Italy,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho)|Mediocampista central,27,Bueno,Alessio Vita
Millonarios FC ,Colombia,Mediocampista defensivo|Mediocampista central,27,Bueno,César Carrillo
Deportivo Pasto ,Colombia,Defensa lateral (lateral derecha),29,Bueno,Marvin Vallecilla
Göztepe SK ,Turkey,Defensa lateral (lateral derecha),32,Bueno,Berkan Emir
Blackpool ,England,Defensa central,23,Bueno,Taylor Moore
Ascoli ,Italy,Delantero,21,Bueno,Gianluca Scamacca
Holstein Kiel ,Ghana,Delantero|Mediocampista lateral|Mediocampista ofensivo,23,Bueno,David Atanga
Club Tijuana ,Mexico,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho)|Extremo (Extremo izquierdo),24,Bueno,Mauro Laínez
FBC Melgar ,Argentina,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),32,Bueno,Joel Amoroso
Millonarios FC ,Colombia,Defensa lateral (lateral derecha),31,Bueno,Felipe Banguero
Liverpool Fútbol Club ,Uruguay,Mediocampista defensivo|Mediocampista ofensivo,35,Bueno,Hernán Figueredo
Deportivo Pasto ,Colombia,Portero,30,Bueno,Diego Martínez
Esbjerg fB ,Sweden,Defensa central,24,Bueno,Franz Brorsson
Mineros de Guayana ,Venezuela,Mediocampista lateral|Mediocampista central,26,Bueno,Michael Covea
Hellas Verona ,Italy,Defensa lateral (lateral derecha)|Mediocampista lateral (Mediocampista derecho),22,Bueno,Federico Dimarco
CD Everton de Viña del Mar ,Chile,Mediocampista defensivo|Mediocampista central,23,Bueno,Carlos Lobos
Brescia ,Italy,Portero,25,Bueno,Lorenzo Andrenacci
FC Emmen ,Curacao,Delantero,25,Bueno,Jafar Arias
FC Barcelona ,Spain,Defensa lateral (lateral derecha),22,Bueno,Akieme
Górnik Zabrze ,Slovenia,Defensa lateral (lateral derecha),27,Bueno,Erik Janza
FC Lorient ,France,Defensa lateral (lateral derecha)|Mediocampista lateral (Mediocampista derecho),26,Bueno,Quentin Lecoeuche
Club Nacional ,Paraguay,Delantero|Mediocampista lateral (Mediocampista derecho),33,Bueno,Julián Benítez
Karlsruher SC ,Turkey,Mediocampista lateral,23,Bueno,Burak Çamoglu
Sunderland ,England,Mediocampista defensivo|Mediocampista central,22,Bueno,George Dobson
Panathinaikos FC ,Greece,Defensa lateral (lateral derecha)|Mediocampista lateral (Mediocampista derecho),22,Bueno,Ilias Chatzitheodoridis
R. Valladolid CF ,Spain,Delantero|Mediocampista lateral|Mediocampista ofensivo,22,Bueno,Kuki Zalazar
AS Monaco Football Club SA ,Senegal,Portero,24,Bueno,Seydou Sy
Ipswich Town ,England,Defensa lateral|Defensa lateral (lateral derecha)|Extremo|Extremo (Extremo izquierdo),24,Bueno,Kane Vincent-Young
Frosinone ,Italy,Delantero,31,Bueno,Nicola Citro
La Equidad ,Colombia,Defensa central,24,Bueno,Andrés Murillo
Heracles Almelo ,Belgium,Defensa central,24,Bueno,Dario Van den Buijs
FC Zürich ,Brazil,Defensa central,25,Bueno,Nathan
Melbourne City ,Scotland,Defensa central,25,Bueno,Jack Hendry
Valenciennes FC ,Benin,Mediocampista central,24,Bueno,Sessi D'Almeida
Portsmouth ,England,Portero,22,Bueno,Alex Bass
Frosinone ,Italy,Mediocampista central,22,Bueno,Mattia Vitale
Guadalajara ,Mexico,Delantero,23,Bueno,Ronaldo Cisneros
Chievo Verona ,Italy,Mediocampista central,26,Bueno,Giovanni Di Noia
FC Lugano ,Bosnia & Herzegovina,Defensa central|Mediocampista defensivo,34,Bueno,Miroslav Covilo
Levante UD ,Spain,Mediocampista lateral|Mediocampista ofensivo,24,Bueno,Arturo Molina
Belenenses ,Portugal,Portero,24,Bueno,André Moreira
Santa Clara ,Portugal,Defensa lateral,25,Bueno,Rafael Ramos
Malmö FF ,Nigeria,Mediocampista defensivo|Mediocampista central,24,Bueno,Bonke Innocent
Kristiansund BK ,Norway,Mediocampista lateral (Mediocampista derecho)|Extremo (Extremo izquierdo),30,Bueno,Amahl Pellegrino
Hibernian ,Scotland,Mediocampista central,23,Bueno,Greg Docherty
Servette FC ,Switzerland,Defensa central,30,Bueno,Steve Rouiller
Shakhtar Donetsk ,Ukraine,Defensa lateral,27,Bueno,Sergiy Bolbat
Stabæk Fotball ,United States,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),25,Bueno,Romain Gall
Galatasaray SK ,Turkey,Mediocampista defensivo|Mediocampista central,25,Bueno,Taylan Antalyali
Jiangsu Suning FC ,China PR,Defensa central|Mediocampista defensivo,26,Bueno,Li Ang
Wisla Kraków ,Poland,Mediocampista ofensivo,22,Bueno,Kamil Wojtkowski
Shanghai SIPG FC ,China PR,Defensa central,27,Bueno,He Guan
Shanghai SIPG FC ,China PR,Delantero|Extremo (Extremo derecho)|Extremo (Extremo izquierdo),31,Bueno,Lü Wenjun
Tianjin TEDA FC ,China PR,Defensa lateral|Defensa lateral (lateral derecha)|Mediocampista lateral,30,Bueno,Zhao Honglue
Kayserispor ,Croatia,Defensa lateral|Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),28,Bueno,Mario Šitum
Atlético Bucaramanga ,Colombia,Defensa lateral (lateral derecha),30,Bueno,Germán Gutiérrez
Gazisehir Gaziantep Futbol Kulübü ,Turkey,Mediocampista defensivo|Mediocampista central|Mediocampista ofensivo,25,Bueno,Furkan Soyalp
Portsmouth ,England,Mediocampista central|Mediocampista ofensivo,24,Bueno,Andy Cannon
Newell's Old Boys ,Argentina,Defensa lateral (lateral derecha)|Mediocampista lateral (Mediocampista derecho),28,Bueno,Matías Orihuela
Arka Gdynia ,Poland,Delantero,24,Bueno,Oskar Zawada
RKC Waalwijk ,Netherlands,Delantero,29,Bueno,Mario Bilate
Royal Excel Mouscron ,Belgium,Lateral (lateral izquierdo)|Defensa lateral|Extremo (Extremo derecho),24,Bueno,Alessandro Ciranni
Fleetwood Town ,England,Defensa lateral,24,Bueno,Lewie Coyle
Stade de Reims ,France,Defensa lateral|Mediocampista defensivo|Mediocampista central,25,Bueno,Nolan Mbemba
SV Meppen ,Germany,Defensa central,23,Bueno,Marco Komenda
Liverpool ,Spain,Mediocampista defensivo|Mediocampista central,23,Bueno,Pedro Chirivella
Girona FC ,Spain,Portero,24,Bueno,José Suárez
Perugia ,Spain,Mediocampista lateral|Mediocampista ofensivo,21,Bueno,Paolo Fernandes
Waasland-Beveren ,Belgium,Portero,25,Bueno,Lucas Pirard
Le Mans FC ,France,Defensa central,27,Bueno,Pierre Lemonnier
Delfín Sporting Club ,Uruguay,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),27,Bueno,Martín Alaníz
Sivasspor ,Turkey,Portero,30,Bueno,Ali Sasal Vural
Sportverein Waldhof Mannheim 07 e.V. ,Germany,Mediocampista defensivo,24,Bueno,Marco Schuster
LASK Linz ,Austria,Defensa central,28,Bueno,Markus Wostry
RC Deportivo ,Spain,Defensa lateral (lateral derecha),28,Bueno,Luis Ruiz
Grenoble Foot 38 ,Mauritania,Mediocampista defensivo|Mediocampista central,30,Bueno,Ibréhima Coulibaly
US Orléans Loiret Football ,France,Portero,36,Bueno,Thomas Renault
SK Sturm Graz ,Austria,Defensa central|Mediocampista defensivo|Mediocampista central,26,Bueno,Lukas Jäger
SV Meppen ,Germany,Defensa lateral|Mediocampista defensivo,26,Bueno,Markus Ballmert
Santa Clara ,Portugal,Delantero|Extremo (Extremo izquierdo),29,Bueno,Zé Manuel
Clermont Foot 63 ,France,Defensa lateral,25,Bueno,Akim Zedadka
Yeni Malatyaspor ,Turkey,Defensa lateral (lateral derecha)|Defensa central,30,Bueno,Mustafa Akbas
CF Fuenlabrada ,Spain,Defensa lateral (lateral derecha)|Defensa central,25,Bueno,José León
Willem II ,Netherlands,Delantero,28,Bueno,Paul Gladon
Sivasspor ,Turkey,Portero,29,Bueno,Muammer Yildirim
SSV Jahn Regensburg ,Spain,Delantero|Mediocampista ofensivo,25,Bueno,Federico Palacios Martínez
Club Atlético Aldosivi ,Argentina,Defensa lateral|Mediocampista lateral|Mediocampista central,28,Bueno,Nahuel Yeri
Chiavari ,Italy,Defensa lateral|Defensa central,23,Bueno,Mauro Coppolaro
FC Emmen ,Netherlands,Defensa central,28,Bueno,Ferhat Görgülü
Bristol Rovers ,England,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),23,Bueno,Josh Ginnelly
Nottingham Forest ,England,Delantero,23,Bueno,Tyler Walker
Plymouth Argyle ,England,Extremo|Mediocampista lateral (Mediocampista derecho)|Extremo (Extremo izquierdo),23,Bueno,George Cooper
CD Tondela ,Brazil,Delantero,25,Bueno,Ronan
Trapani ,Argentina,Defensa lateral (lateral derecha)|Defensa central|Mediocampista lateral (Mediocampista derecho),27,Bueno,Fausto Grillo
Seongnam FC ,Korea Republic,Extremo|Mediocampista lateral|Mediocampista lateral (Mediocampista derecho)|Extremo (Extremo izquierdo),30,Bueno,Seo Bo Min
PFC CSKA Moscow ,Russia,Portero,23,Bueno,Ilya Pomazun
FC Chambly Oise ,France,Delantero|Mediocampista ofensivo,27,Bueno,Florian David
Blackpool ,England,Mediocampista lateral|Mediocampista central,25,Bueno,Grant Ward
Jiangsu Suning FC ,China PR,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho)|Extremo (Extremo derecho),27,Bueno,Xie Pengfei
Cracovia ,Poland,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),23,Bueno,Mateusz Wdowiak
Guangzhou R&F FC ,China PR,Defensa lateral (lateral derecha)|Extremo|Mediocampista lateral (Mediocampista derecho)|Extremo (Extremo izquierdo),29,Bueno,Ding Haifeng
Ipswich Town ,England,Mediocampista central,24,Bueno,Teddy Bishop
SK Brann ,Norway,Mediocampista central|Extremo (Extremo izquierdo),25,Bueno,Petter Strand
Luton Town ,England,Defensa lateral|Defensa lateral (lateral derecha),22,Bueno,James Bree
Columbus Crew SC ,Scotland,Defensa lateral|Mediocampista lateral,23,Bueno,Chris Cadden
Sangju Sangmu FC ,Korea Republic,Defensa lateral (lateral derecha),26,Bueno,Lee Myung Jae
Club Atlético Banfield ,Argentina,Defensa lateral,27,Bueno,Rodrigo Arciero
Cracovia ,Croatia,Defensa central,27,Bueno,Niko Datkovic
Neuchâtel Xamax FCS ,Switzerland,Mediocampista lateral|Mediocampista central|Mediocampista ofensivo,26,Bueno,Musa Araz
KV Kortrijk ,Serbia,Defensa lateral|Defensa central,26,Bueno,Petar Golubovic
Shandong Luneng TaiShan FC ,China PR,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),28,Bueno,Jin Jingdao
Shandong Luneng TaiShan FC ,China PR,Mediocampista lateral (Mediocampista derecho)|Extremo (Extremo izquierdo),27,Bueno,Wu Xinghan
San Jose Earthquakes ,United States,Defensa lateral|Mediocampista lateral|Mediocampista central,24,Bueno,Tommy Thompson
Accrington Stanley ,England,Delantero,23,Bueno,Colby Bishop
FC Cincinnati ,United States,Defensa central,27,Bueno,Nick Hagglund
