TEAM,NATIONALITY,POSITION,AGE,POTENTIAL,NAME
Lazio ,Spain,Mediocampista central|Mediocampista ofensivo|Delantero central,27,Muy bueno,Luis Alberto
Inter ,Netherlands,Defensa central,28,Muy bueno,Stefan de Vrij
SL Benfica ,Portugal,Mediocampista lateral|Mediocampista central,30,Muy bueno,Pizzi
Real Madrid ,Spain,Mediocampista central|Mediocampista ofensivo|Extremo (Extremo izquierdo),28,Muy bueno,Isco
RC Celta ,Spain,Delantero|Extremo (Extremo derecho),32,Muy bueno,Iago Aspas
Arsenal ,Germany,Portero,28,Muy bueno,Bernd Leno
FC Bayern München ,Germany,Mediocampista lateral|Mediocampista ofensivo|Extremo (Extremo derecho),30,Muy bueno,Thomas Müller
FC Bayern München ,Brazil,Mediocampista central|Mediocampista ofensivo|Extremo (Extremo izquierdo),28,Muy bueno,Coutinho
Borussia Dortmund ,Switzerland,Portero,29,Muy bueno,Roman Bürki
Guangzhou Evergrande Taobao FC ,Brazil,Mediocampista defensivo|Mediocampista central|Mediocampista ofensivo,32,Muy bueno,Paulinho
RB Leipzig ,Hungary,Portero,30,Muy bueno,Péter Gulácsi
Liverpool ,England,Mediocampista defensivo|Mediocampista central,30,Muy bueno,Jordan Henderson
Liverpool ,Netherlands,Mediocampista defensivo|Mediocampista central,29,Muy bueno,Georginio Wijnaldum
Borussia Dortmund ,Belgium,Mediocampista defensivo|Mediocampista central,31,Muy bueno,Axel Witsel
Real Madrid ,Wales,Delantero|Extremo (Extremo derecho)|Extremo (Extremo izquierdo),31,Muy bueno,Gareth Bale
Tottenham Hotspur ,Belgium,Defensa lateral (lateral derecha)|Defensa central,33,Muy bueno,Jan Vertonghen
FC Barcelona ,Croatia,Mediocampista central,32,Muy bueno,Ivan Rakitic
Juventus ,Argentina,Delantero,32,Muy bueno,Gonzalo Higuaín
Manchester City ,Brazil,Defensa central|Mediocampista defensivo,35,Muy bueno,Fernandinho
Milan ,Sweden,Delantero,38,Muy bueno,Zlatan Ibrahimovic
Bayer 04 Leverkusen ,Germany,Mediocampista lateral|Mediocampista ofensivo,21,Sobresaliente,Kai Havertz
Manchester United ,England,Delantero|Mediocampista lateral (Mediocampista derecho),22,Muy bueno,Marcus Rashford
Inter ,Argentina,Delantero,22,Sobresaliente,Lautaro Martínez
Leicester City ,Nigeria,Mediocampista defensivo|Mediocampista central,23,Muy bueno,Wilfred Ndidi
FC Bayern München ,France,Defensa lateral (lateral derecha)|Defensa central,24,Muy bueno,Lucas Hernández
FC Bayern München ,France,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho)|Extremo (Extremo izquierdo),24,Muy bueno,Kingsley Coman
FC Porto ,Brazil,Defensa lateral (lateral derecha),27,Muy bueno,Alex Telles
Borussia Dortmund ,Germany,Mediocampista lateral (Mediocampista derecho)|Mediocampista central|Mediocampista ofensivo,24,Muy bueno,Julian Brandt
Leicester City ,Portugal,Defensa lateral,26,Muy bueno,Ricardo Pereira
Atlético Madrid ,Ghana,Mediocampista defensivo|Mediocampista central,27,Muy bueno,Thomas Partey
FC Bayern München ,Germany,Mediocampista defensivo|Mediocampista central|Mediocampista ofensivo,25,Muy bueno,Leon Goretzka
Atlético Madrid ,Brazil,Defensa central,31,Muy bueno,Felipe
Chelsea ,Croatia,Mediocampista central,26,Muy bueno,Mateo Kovacic
Chelsea ,Italy,Mediocampista defensivo|Mediocampista central,28,Muy bueno,Jorginho
Olympique Lyonnais ,Netherlands,Mediocampista ofensivo|Delantero central|Extremo (Extremo izquierdo),26,Muy bueno,Memphis Depay
Atalanta ,Slovenia,Delantero|Delantero central,32,Muy bueno,Josip Ilicic
Napoli ,Brazil,Mediocampista central,29,Muy bueno,Allan
Lazio ,Italy,Defensa central,32,Muy bueno,Francesco Acerbi
Olympique Lyonnais ,Portugal,Portero,29,Muy bueno,Anthony Lopes
AS Monaco Football Club SA ,France,Delantero,29,Muy bueno,Wissam Ben Yedder
Real Madrid ,Colombia,Mediocampista lateral|Mediocampista central|Mediocampista ofensivo,29,Muy bueno,James Rodríguez
FC Barcelona ,Brazil,Portero,31,Muy bueno,Neto
Paris Saint-Germain ,Senegal,Mediocampista defensivo|Mediocampista central,30,Muy bueno,Idrissa Gueye
Arsenal ,France,Delantero,29,Muy bueno,Alexandre Lacazette
Napoli ,Greece,Defensa central,29,Muy bueno,Kostas Manolas
Juventus ,Brazil,Defensa lateral (lateral derecha)|Mediocampista lateral (Mediocampista derecho),29,Muy bueno,Alex Sandro
Juventus ,Brazil,Mediocampista lateral (Mediocampista derecho)|Extremo (Extremo derecho)|Extremo (Extremo izquierdo),29,Muy bueno,Douglas Costa
Real Betis ,Spain,Mediocampista lateral (Mediocampista derecho)|Mediocampista central|Mediocampista ofensivo,29,Muy bueno,Canales
Shanghai SIPG FC ,Brazil,Mediocampista central|Mediocampista ofensivo|Extremo (Extremo izquierdo),28,Muy bueno,Oscar
