Year;Month;Day;Flag Tsunami;Flag Earthquake;Volcano Name;Location;Country;Elevation;Volcano Type;Status;Volcanic Explosivity Index;Volcano : Deaths;Volcano : Deaths Description;Volcano : Missing;Volcano : Missing Description;Volcano : Injuries;Volcano : Injuries Description;Volcano : Damage (in M$);Volcano : Damage Description;Volcano : Houses destroyed;Volcano : Houses destroyed Description;Total Effects : Deaths;Total Effects : Deaths Description;Total Effects : Missing;Total Effects : Missing Description;Total Effects : Injuries;Total Effects : Injuries Description;Total Effects : Damages in million Dollars;Total Effects : Damage Description;Total Effects : Houses Destroyed;Total Effects : Houses Destroyed Description;Coordinates;Earthquakes : Houses damaged Description;Total Effects : Houses Damaged Description
1974;08;09;;;Sakura-jima;Kyushu-Japan;Japan;1117;Stratovolcano;Historical;3;5;Few (~1 to 50 deaths);;;;;;;;;5;Few (~1 to 50 deaths);;;;;;;;;31.58,130.67;;
1979;02;20;;;Dieng Volc Complex;Java;Indonesia;2565;Complex volcano;Historical;1;149;Many (~101 to 1000 deaths);;;;;;;;;149;Many (~101 to 1000 deaths);;;;;;;;;-7.2,109.92;;
1984;09;09;;;Mayon;Luzon-Philippines;Philippines;2462;Stratovolcano;Historical;3;1;Few (~1 to 50 deaths);;;;;;;;;1;Few (~1 to 50 deaths);;;;;;;;;13.257,123.685;;
1988;05;09;;;Banda Api;Banda Sea;Pacific Ocean;640;Caldera;Historical;3;4;Few (~1 to 50 deaths);;;;;;;;;4;Few (~1 to 50 deaths);;;;;;;;;-4.525,129.871;;
1993;06;13;;;Krakatau;Indonesia;Indonesia;813;Caldera;Historical;1;1;Few (~1 to 50 deaths);;;5.0;Few (~1 to 50 deaths);;;;;1;Few (~1 to 50 deaths);;;5.0;Few (~1 to 50 deaths);;;;;-6.102,105.423;;
1996;01;02;Tsunami;;Karymsky;Kamchatka;Russia;1536;Stratovolcano;Historical;2;;;;;;;;;;;;;;;;;;;;;54.05,159.43;;
1997;12;26;Tsunami;;Soufriere Hills;W Indies;Montserrat;915;Stratovolcano;Historical;;;;;;;;;;;;;;;;;;;;;;16.72,-62.18;;
2006;06;07;;;Bulusan;Luzon-Philippines;Philippines;1565;Stratovolcano;Historical;2;1;Few (~1 to 50 deaths);;;;;;;;;1;Few (~1 to 50 deaths);;;;;;;;;12.77,124.05;;
2007;03;;;;Manam;New Guinea-NE of;Papua New Guinea;1807;Stratovolcano;Historical;4;4;Few (~1 to 50 deaths);;;1.0;Few (~1 to 50 deaths);;;;;4;Few (~1 to 50 deaths);;;1.0;Few (~1 to 50 deaths);;;;;-4.1,145.061;;
2007;09;30;;;Tair, Jebel at;Red Sea;Yemen;244;Stratovolcano;Historical;;7;Few (~1 to 50 deaths);;;1.0;Few (~1 to 50 deaths);;;;;7;Few (~1 to 50 deaths);;;;Few (~1 to 50 deaths);;;;;15.7,41.742;;
