Year;Month;Day;Flag Tsunami;Flag Earthquake;Volcano Name;Location;Country;Elevation;Volcano Type;Status;Volcanic Explosivity Index;Volcano : Deaths;Volcano : Deaths Description;Volcano : Missing;Volcano : Missing Description;Volcano : Injuries;Volcano : Injuries Description;Volcano : Damage (in M$);Volcano : Damage Description;Volcano : Houses destroyed;Volcano : Houses destroyed Description;Total Effects : Deaths;Total Effects : Deaths Description;Total Effects : Missing;Total Effects : Missing Description;Total Effects : Injuries;Total Effects : Injuries Description;Total Effects : Damages in million Dollars;Total Effects : Damage Description;Total Effects : Houses Destroyed;Total Effects : Houses Destroyed Description;Coordinates;Earthquakes : Houses damaged Description;Total Effects : Houses Damaged Description
2013;09;04;;;Sakura-jima;Kyushu-Japan;Japan;1117;Stratovolcano;Historical;;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;31.58,130.67;;
2015;05;07;;;Karangetang [Api Siau];Sangihe Is-Indonesia;Indonesia;1784;Stratovolcano;Historical;;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;Few (~1 to 50 houses);;;;;;;;LIMITED (roughly corresponding to less than $1 million);;Few (~1 to 50 houses);2.78,125.48;;
-1460;;;;;Taupo;New Zealand;New Zealand;760;Caldera;Radiocarbon;6;;;;;;;;;;;;;;;;;;;;;-38.82,176.0;;
1000;;;;;Changbaishan;China-E;North Korea;2744;Stratovolcano;Historical;7;;;;;;;;;;;;;;;;;;;;;41.98,128.08;;
1727;08;03;;;Oraefajokull;Iceland-SE;Iceland;2119;Stratovolcano;Historical;4;3;Few (~1 to 50 deaths);;;;;;;;;3;Few (~1 to 50 deaths);;;;;;;;;64.0,-16.65;;
1826;10;11;;;Kelut;Java;Indonesia;1731;Stratovolcano;Historical;3;;Few (~1 to 50 deaths);;;65.0;Some (~51 to 100 deaths);;SEVERE (~>$5 to $24 million);;Many (~101 to 1000 houses);;Few (~1 to 50 deaths);;;65.0;Some (~51 to 100 deaths);;SEVERE (~>$5 to $24 million);;Many (~101 to 1000 houses);-7.93,112.308;;
1868;04;03;Tsunami;Earthquake;Mauna Loa;Hawaiian Is;United States;4170;Shield volcano;Historical;2;;;;;;;;LIMITED (roughly corresponding to less than $1 million);37;Few (~1 to 50 houses);77;Some (~51 to 100 deaths);;;;;;MODERATE (~$1 to $5 million);;Many (~101 to 1000 houses);19.475,-155.608;;
1869;07;07;;;Lewotobi;Lesser Sunda Is;Indonesia;1703;Stratovolcano;Historical;2;2;Few (~1 to 50 deaths);;;;;;;;;2;Few (~1 to 50 deaths);;;;;;;;;-8.53,122.775;;
1895;;;;;Dakataua;New Britain-SW Pac;Papua New Guinea;400;Caldera;Anthropology;2;;Few (~1 to 50 deaths);;;;;;LIMITED (roughly corresponding to less than $1 million);;;;Few (~1 to 50 deaths);;;;;;LIMITED (roughly corresponding to less than $1 million);;;-5.056,150.108;;
1900;07;17;;;Adatara;Honshu-Japan;Japan;1718;Stratovolcano;Historical;2;72;Some (~51 to 100 deaths);;;10.0;Few (~1 to 50 deaths);;;;;72;Some (~51 to 100 deaths);;;10.0;Few (~1 to 50 deaths);;;;;37.62,140.28;;
1900;;;;;Tullu Moje;Africa-NE;Ethiopia;2349;Pumice cone;Anthropology;;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;;;;;;;;;;;8.158,39.13;;
1902;12;;;;Merapi;Java;Indonesia;2947;Stratovolcano;Historical;2;16;Few (~1 to 50 deaths);;;45.0;Few (~1 to 50 deaths);;;;Some (~51 to 100 houses);16;Few (~1 to 50 deaths);;;45.0;Few (~1 to 50 deaths);;;;Some (~51 to 100 houses);-7.542,110.442;;
1907;09;28;;;Lewotobi;Lesser Sunda Is;Indonesia;1703;Stratovolcano;Historical;2;1;Few (~1 to 50 deaths);;;;Few (~1 to 50 deaths);;;;;1;Few (~1 to 50 deaths);;;;Few (~1 to 50 deaths);;;;;-8.53,122.775;;
1913;03;14;Tsunami;Earthquake;Awu;Sangihe Is-Indonesia;Indonesia;1320;Stratovolcano;Historical;2;;;;;;;;;;;138;Many (~101 to 1000 deaths);;;;Some (~51 to 100 deaths);;MODERATE (~$1 to $5 million);;Many (~101 to 1000 houses);3.67,125.5;;
1930;08;20;;;Asama;Honshu-Japan;Japan;2560;Complex volcano;Historical;3;6;Few (~1 to 50 deaths);;;;;;;;;6;Few (~1 to 50 deaths);;;;;;;;;36.4,138.53;;
1932;02;;;;Merapi;Java;Indonesia;2947;Stratovolcano;Historical;;;Few (~1 to 50 deaths);;;;;;;;;;Few (~1 to 50 deaths);;;;;;;;;-7.542,110.442;;
1938;01;28;Tsunami;;Nyamuragira;Africa-C;Congo, DRC;3058;Shield volcano;Historical;1;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;-1.408,29.2;;
1938;06;05;;;Mayon;Luzon-Philippines;Philippines;2462;Stratovolcano;Historical;2;;Few (~1 to 50 deaths);;;;;;;;;;Few (~1 to 50 deaths);;;;;;;;;13.257,123.685;;
1954;;;;;Camiguin;Mindanao-Philippines;Philippines;1332;Stratovolcano;Historical;;2;Few (~1 to 50 deaths);;;;;;;;;2;Few (~1 to 50 deaths);;;;;;;;;9.203,124.673;;
1958;07;12;;;Mahawu;Sulawesi-Indonesia;Indonesia;1324;Stratovolcano;Historical;2;1;Few (~1 to 50 deaths);;;10.0;Few (~1 to 50 deaths);;;;;1;Few (~1 to 50 deaths);;;10.0;Few (~1 to 50 deaths);;;;;1.358,124.858;;
1961;04;23;;;Tate-yama;Honshu-Japan;Japan;2621;Stratovolcano;Historical;;1;Few (~1 to 50 deaths);;;;;;;;;1;Few (~1 to 50 deaths);;;;;;;;;36.57,137.6;;
1964;01;01;;;Paluweh;Lesser Sunda Is;Indonesia;875;Stratovolcano;Historical;2;1;Few (~1 to 50 deaths);;;3.0;Few (~1 to 50 deaths);;;;;1;Few (~1 to 50 deaths);;;3.0;Few (~1 to 50 deaths);;;;;-8.32,121.708;;
1992;09;17;;;Spurr;Alaska-SW;United States;3374;Stratovolcano;Historical;4;1;Few (~1 to 50 deaths);;;;;2.0;MODERATE (~$1 to $5 million);;;1;Few (~1 to 50 deaths);;;;;2;MODERATE (~$1 to $5 million);;;61.3,-152.25;;
1995;09;06;;;Parker;Mindanao-Philippines;Philippines;1824;Stratovolcano;Historical;;60;Some (~51 to 100 deaths);;;;;;MODERATE (~$1 to $5 million);300;Many (~101 to 1000 houses);60;Some (~51 to 100 deaths);;;;;;MODERATE (~$1 to $5 million);300;Many (~101 to 1000 houses);6.12,124.892;;
1998;07;;;;Kelut;Java;Indonesia;1731;Stratovolcano;Historical;;10;Few (~1 to 50 deaths);;;;;;;;;10;Few (~1 to 50 deaths);;;;;;;;;-7.93,112.308;;
2000;08;23;;;Arenal;Costa Rica;Costa Rica;1657;Stratovolcano;Historical;3;2;Few (~1 to 50 deaths);;;1.0;Few (~1 to 50 deaths);;;;;2;Few (~1 to 50 deaths);;;1.0;Few (~1 to 50 deaths);;;;;10.463,-84.703;;
2010;05;27;;;Pacaya;Guatemala;Guatemala;2552;Complex volcano;Historical;1;1;Few (~1 to 50 deaths);3.0;Few (~1 to 50 deaths);;;;LIMITED (roughly corresponding to less than $1 million);3;Few (~1 to 50 houses);1;Few (~1 to 50 deaths);3.0;Few (~1 to 50 deaths);;;;LIMITED (roughly corresponding to less than $1 million);3;Few (~1 to 50 houses);14.381,-90.601;;
2010;10;26;;;Merapi;Java;Indonesia;2947;Stratovolcano;Historical;;367;Many (~101 to 1000 deaths);;;277.0;Many (~101 to 1000 deaths);600.0;EXTREME (~$25 million or more);;Many (~101 to 1000 houses);367;Many (~101 to 1000 deaths);;;277.0;Many (~101 to 1000 deaths);600;EXTREME (~$25 million or more);;Many (~101 to 1000 houses);-7.542,110.442;;
2011;07;17;;;Lokon-Empung;Sulawesi-Indonesia;Indonesia;1580;Stratovolcano;Historical;;1;Few (~1 to 50 deaths);;;;;;;;;1;Few (~1 to 50 deaths);;;;;;;;;1.358,124.792;;
2013;02;12;;;Merapi;Java;Indonesia;2947;Stratovolcano;Historical;;1;Few (~1 to 50 deaths);;;1.0;Few (~1 to 50 deaths);;LIMITED (roughly corresponding to less than $1 million);;;1;Few (~1 to 50 deaths);;;1.0;Few (~1 to 50 deaths);;LIMITED (roughly corresponding to less than $1 million);;;-7.542,110.442;;
2016;09;27;;;Rinjani;Lesser Sunda Is;Indonesia;3726;Stratovolcano;Historical;;;;44.0;Few (~1 to 50 deaths);;;;;;;;;44.0;Few (~1 to 50 deaths);;;;;;;-8.42,116.47;;
2018;07;16;;;Kilauea;Hawaiian Is;United States;1222;Shield volcano;Historical;;;;;;23.0;Few (~1 to 50 deaths);1.0;LIMITED (roughly corresponding to less than $1 million);;;;;;;23.0;Few (~1 to 50 deaths);1;LIMITED (roughly corresponding to less than $1 million);;;19.425,-155.292;;
-4050;;;;;Masaya;Nicaragua;Nicaragua;635;Caldera;Historical;6;;;;;;;;;;;;;;;;;;;;;11.984,-86.161;;
-2420;;;;;Vesuvius;Italy;Italy;1281;Complex volcano;Historical;5;;;;;;;;;;;;;;;;;;;;;40.821,14.426;;
79;08;25;Tsunami;Earthquake;Vesuvius;Italy;Italy;1281;Complex volcano;Historical;5;2100;Very Many (~1001 or more deaths);;;;;;;;;2100;Very Many (~1001 or more deaths);;;;;;;;;40.821,14.426;;
1375;;;;;Chichon, El;Mexico;Mexico;1150;Tuff cone;Historical;5;;Some (~51 to 100 deaths);;;;;;;;;;Some (~51 to 100 deaths);;;;;;;;;17.36,-93.228;;
1376;;;;;Kelut;Java;Indonesia;1731;Stratovolcano;Historical;3;;Few (~1 to 50 deaths);;;;;;;;;;Few (~1 to 50 deaths);;;;;;;;;-7.93,112.308;;
1538;09;29;;;Campi Flegrei;Italy;Italy;458;Caldera;Historical;3;24;Few (~1 to 50 deaths);;;;;;;;;24;Few (~1 to 50 deaths);;;;;;;;;40.827,14.139;;
1664;04;15;;;Unzen;Kyushu-Japan;Japan;1500;Complex volcano;Historical;2;30;Few (~1 to 50 deaths);;;;;;;;;30;Few (~1 to 50 deaths);;;;;;;;;32.75,130.3;;
1698;;;;;Cotopaxi;Ecuador;Ecuador;5911;Stratovolcano;Historical;3;;Some (~51 to 100 deaths);;;;;;;;;;Some (~51 to 100 deaths);;;;;;;;;-0.677,-78.436;;
1775;;;;;Gamalama;Halmahera-Indonesia;Indonesia;1715;Stratovolcano;Historical;3;1300;Very Many (~1001 or more deaths);;;;;;;;;1300;Very Many (~1001 or more deaths);;;;;;;;;0.8,127.325;;
1800;10;30;;;Mayon;Luzon-Philippines;Philippines;2462;Stratovolcano;Historical;2;;Few (~1 to 50 deaths);;;;;;;;;;Few (~1 to 50 deaths);;;;;;;;;13.257,123.685;;
1822;03;09;;;Usu;Hokkaido-Japan;Japan;731;Stratovolcano;Historical;4;50;Few (~1 to 50 deaths);;;53.0;Some (~51 to 100 deaths);;;;Some (~51 to 100 houses);50;Few (~1 to 50 deaths);;;53.0;Some (~51 to 100 deaths);;;;Some (~51 to 100 houses);42.53,140.83;;
1822;10;08;;;Galunggung;Java;Indonesia;2168;Stratovolcano;Historical;5;4011;Very Many (~1001 or more deaths);;;;;;SEVERE (~>$5 to $24 million);;Many (~101 to 1000 houses);4011;Very Many (~1001 or more deaths);;;;;;SEVERE (~>$5 to $24 million);;Many (~101 to 1000 houses);-7.25,108.05;;
1840;02;02;Tsunami;;Gamalama;Halmahera-Indonesia;Indonesia;1715;Stratovolcano;Historical;2;;;;;;;;;;;;;;;;;;;;;0.8,127.325;;
1874;07;03;;;Miyake-jima;Izu Is-Japan;Japan;815;Stratovolcano;Historical;3;1;Few (~1 to 50 deaths);;;;;;;;;1;Few (~1 to 50 deaths);;;;;;;;;34.08,139.53;;
1911;11;03;Tsunami;;Piparo;Trinidad;Trinidad;140;Mud volcano;Historical;;;;;;;;;;;;;;;;;;;;;;10.0,-61.0;;
1911;11;08;;;Semeru;Java;Indonesia;3676;Stratovolcano;Historical;3;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;-8.108,112.92;;
1916;07;03;Tsunami;;Stromboli;Italy;Italy;926;Stratovolcano;Historical;3;;;;;;;;;;;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;38.789,15.213;;
1928;05;13;;;Dieng Volc Complex;Java;Indonesia;2565;Complex volcano;Historical;2;40;Few (~1 to 50 deaths);;;;;;;;;40;Few (~1 to 50 deaths);;;;;;;;;-7.2,109.92;;
1933;12;25;Tsunami;;Bulusan;Luzon-Philippines;Philippines;1565;Stratovolcano;Historical;2;;;;;;;;;;;9;Few (~1 to 50 deaths);;;;;;SEVERE (~>$5 to $24 million);;;12.77,124.05;;
1944;08;26;;;Usu;Hokkaido-Japan;Japan;731;Stratovolcano;Historical;2;1;Few (~1 to 50 deaths);;;;;;;;;1;Few (~1 to 50 deaths);;;;;;;;;42.53,140.83;;
1953;12;24;;;Ruapehu;New Zealand;New Zealand;2797;Stratovolcano;Historical;;151;Many (~101 to 1000 deaths);;;;;;;;;151;Many (~101 to 1000 deaths);;;;;;;;;-39.28,175.57;;
1966;04;26;;;Kelut;Java;Indonesia;1731;Stratovolcano;Historical;4;215;Many (~101 to 1000 deaths);78.0;Some (~51 to 100 deaths);86.0;Some (~51 to 100 deaths);;;;;215;Many (~101 to 1000 deaths);78.0;Some (~51 to 100 deaths);86.0;Some (~51 to 100 deaths);;;;;-7.93,112.308;;
1966;08;14;;;Lengai, Ol Doinyo;Africa-E;Tanzania;2890;Stratovolcano;Historical;4;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;-2.751,35.902;;
1969;08;26;;;Narugo;Honshu-Japan;Japan;462;Caldera;Historical;;1;Few (~1 to 50 deaths);;;;;;;;;1;Few (~1 to 50 deaths);;;;;;;;;38.73,140.73;;
1971;08;12;;;Hudson, Cerro;Chile-S;Chile;1905;Stratovolcano;Historical;3;5;Few (~1 to 50 deaths);;;;;;;;;3;Few (~1 to 50 deaths);;;;;;;;;-45.9,-72.97;;
1973;12;05;;;Iliwerung;Lesser Sunda Is;Indonesia;1018;Complex volcano;Historical;2;2;Few (~1 to 50 deaths);;;;;;;;;2;Few (~1 to 50 deaths);;;;;;;;;-8.54,123.59;;
1979;03;08;;;Karkar;New Guinea-NE of;Papua New Guinea;1839;Stratovolcano;Historical;2;2;Few (~1 to 50 deaths);;;;;;;;;2;Few (~1 to 50 deaths);;;;;;;;;-4.649,145.964;;
1981;03;17;;;Etna;Italy;Italy;3350;Stratovolcano;Historical;2;;;;;;;10.0;SEVERE (~>$5 to $24 million);;;;;;;;;;;;;37.734,15.004;;
1982;03;29;;Earthquake;Chichon, El;Mexico;Mexico;1150;Tuff cone;Historical;5;1879;Very Many (~1001 or more deaths);1755.0;Very Many (~1001 or more deaths);;;3.3;MODERATE (~$1 to $5 million);;;1879;Very Many (~1001 or more deaths);1755.0;Very Many (~1001 or more deaths);;;3.3;MODERATE (~$1 to $5 million);;;17.36,-93.228;;
1993;01;14;;;Galeras;Colombia;Colombia;4276;Complex volcano;Historical;2;9;Few (~1 to 50 deaths);;;;;;;;;9;Few (~1 to 50 deaths);;;;;;;;;1.22,-77.37;;
2002;08;28;;Earthquake;Etna;Italy;Italy;3350;Stratovolcano;Historical;3;;;;;32.0;Few (~1 to 50 deaths);;MODERATE (~$1 to $5 million);;Some (~51 to 100 houses);;;;;32.0;Few (~1 to 50 deaths);;MODERATE (~$1 to $5 million);;Some (~51 to 100 houses);37.734,15.004;;
2008;11;20;;;Huila;Colombia;Colombia;5365;Stratovolcano;Historical;;10;Few (~1 to 50 deaths);;Few (~1 to 50 deaths);;Few (~1 to 50 deaths);;;;;10;Few (~1 to 50 deaths);;Few (~1 to 50 deaths);;Few (~1 to 50 deaths);;;;;2.92,-76.05;;
2011;06;04;;;Puyehue;Chile-C;Chile;2236;Stratovolcano;Holocene;4;;;;;;;;MODERATE (~$1 to $5 million);;;;;;;;;;MODERATE (~$1 to $5 million);;;-40.59,-72.117;;
2013;12;13;;;Okataina;New Zealand;New Zealand;1111;Lava dome;Historical;;1;Few (~1 to 50 deaths);;;;;;;;;1;Few (~1 to 50 deaths);;;;;;;;;-38.12,176.5;;
2014;09;27;;;On-take;Honshu-Japan;Japan;3063;Complex volcano;Historical;3;55;Some (~51 to 100 deaths);;;70.0;Some (~51 to 100 deaths);;;;;55;Some (~51 to 100 deaths);;;70.0;Some (~51 to 100 deaths);;;;;35.9,137.48;;
2014;12;18;;;Gamalama;Halmahera-Indonesia;Indonesia;1715;Stratovolcano;Historical;;1;Few (~1 to 50 deaths);;;4.0;Few (~1 to 50 deaths);;;;;1;Few (~1 to 50 deaths);;;4.0;Few (~1 to 50 deaths);;;;;0.8,127.325;;
2018;01;13;;;Mayon;Luzon-Philippines;Philippines;2462;Stratovolcano;Historical;;;;;;1972.0;Very Many (~1001 or more deaths);3.564;MODERATE (~$1 to $5 million);;;;;;;1972.0;Very Many (~1001 or more deaths);3.564;MODERATE (~$1 to $5 million);;;13.257,123.685;;
2018;08;25;;;Manam;New Guinea-NE of;Papua New Guinea;1807;Stratovolcano;Historical;4;;;;;;;;SEVERE (~>$5 to $24 million);164;Many (~101 to 1000 houses);;;;;;;;SEVERE (~>$5 to $24 million);164;Many (~101 to 1000 houses);-4.1,145.061;;
-4360;;;;;Macauley Island;Kermadec Is;New Zealand;238;Caldera;Holocene;6;;;;;;;;;;;;;;;;;;;;;-30.2,-178.47;;
-4000;;;;;Pago;New Britain-SW Pac;Papua New Guinea;742;Caldera;Historical;6;;Few (~1 to 50 deaths);;;;;;LIMITED (roughly corresponding to less than $1 million);;;;Few (~1 to 50 deaths);;;;;;LIMITED (roughly corresponding to less than $1 million);;;-5.58,150.52;;
-50;;;;;Apoyeque;Nicaragua;Nicaragua;518;Pyroclastic shield;Radiocarbon;6;;;;;;;;;;;;;;;;;;;;;12.242,-86.342;;
46;;;Tsunami;;Santorini;Greece;Greece;329;Shield volcano;Historical;3;;;;;;;;;;;;;;;;;;;;;36.404,25.396;;
500;;;;;Arhab, Harra of;Arabia-S;Yemen;3100;Volcanic field;Historical;;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;15.63,44.08;;
787;;;;;Vesuvius;Italy;Italy;1281;Complex volcano;Historical;3;;Few (~1 to 50 deaths);;;;;;LIMITED (roughly corresponding to less than $1 million);;;;Few (~1 to 50 deaths);;;;;;LIMITED (roughly corresponding to less than $1 million);;;40.821,14.426;;
1536;03;23;;;Etna;Italy;Italy;3350;Stratovolcano;Historical;3;1;Few (~1 to 50 deaths);;;;;;;;;1;Few (~1 to 50 deaths);;;;;;;;;37.734,15.004;;
1690;02;03;Tsunami;;Vesuvius;Italy;Italy;1281;Complex volcano;Historical;;;;;;;;;;;;;;;;;;;;;;40.821,14.426;;
1726;02;01;;;Bardarbunga;Iceland-NE;Iceland;2000;Stratovolcano;Historical;1;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;64.63,-17.53;;
1730;;;;;Raung;Java;Indonesia;3332;Stratovolcano;Historical;3;;Some (~51 to 100 deaths);;;;;;;;;;Some (~51 to 100 deaths);;;;;;;;;-8.125,114.042;;
1742;06;15;;;Cotopaxi;Ecuador;Ecuador;5911;Stratovolcano;Historical;3;;Many (~101 to 1000 deaths);;;;;;SEVERE (~>$5 to $24 million);;;;Many (~101 to 1000 deaths);;;;;;SEVERE (~>$5 to $24 million);;;-0.677,-78.436;;
1749;08;11;Tsunami;Earthquake;Taal;Luzon-Philippines;Philippines;400;Stratovolcano;Historical;3;;Few (~1 to 50 deaths);;;;;;LIMITED (roughly corresponding to less than $1 million);;;;Few (~1 to 50 deaths);;;;;;SEVERE (~>$5 to $24 million);;Many (~101 to 1000 houses);14.002,120.993;;
1848;05;16;;;Kelut;Java;Indonesia;1731;Stratovolcano;Historical;2;21;Few (~1 to 50 deaths);;;;;;;800;Many (~101 to 1000 houses);21;Few (~1 to 50 deaths);;;;;;;800;Many (~101 to 1000 houses);-7.93,112.308;;
1861;05;07;;Earthquake;Dubbi;Africa-NE;Eritrea;1625;Stratovolcano;Historical;3;106;Many (~101 to 1000 deaths);;;;;;SEVERE (~>$5 to $24 million);;Many (~101 to 1000 houses);106;Many (~101 to 1000 deaths);;;;;;SEVERE (~>$5 to $24 million);;Many (~101 to 1000 houses);13.58,41.808;;
1892;08;30;Tsunami;;Tofua;Tonga-SW Pacific;Tonga;512;Caldera;Historical;2;;;;;;;;;;;;;;;;;;;;;-19.75,-175.07;;
1897;05;23;;;Mayon;Luzon-Philippines;Philippines;2462;Stratovolcano;Historical;3;350;Many (~101 to 1000 deaths);;;;;;;;;350;Many (~101 to 1000 deaths);;;;;;;;;13.257,123.685;;
1902;05;05;Tsunami;;Pelee;W Indies;Martinique;1397;Stratovolcano;Historical;;23;Few (~1 to 50 deaths);;;;;;;;;23;Few (~1 to 50 deaths);;;;;;;;;14.82,-61.17;;
1912;12;03;;;Nyamuragira;Africa-C;Congo, DRC;3058;Shield volcano;Historical;3;20;Few (~1 to 50 deaths);;;;;;;;;20;Few (~1 to 50 deaths);;;;;;;;;-1.408,29.2;;
1919;02;19;;;Popocatepetl;Mexico;Mexico;5426;Stratovolcano;Historical;1;;Some (~51 to 100 deaths);;;;;;;;;;Some (~51 to 100 deaths);;;;;;;;;19.023,-98.622;;
1919;04;03;Tsunami;;Banua Wuhu;Sangihe Is-Indonesia;Indonesia;-5;Submarine volcano;Historical;;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;Few (~1 to 50 houses);;;;;;;;LIMITED (roughly corresponding to less than $1 million);;Few (~1 to 50 houses);3.138,125.491;;
1923;03;02;Tsunami;Earthquake;Cendres, Ile des;SE Asia;Vietnam;-20;Submarine volcanoes;Historical;2;;;;;;;;;;;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;10.158,109.014;;
1929;08;02;;;Etna;Italy;Italy;3350;Stratovolcano;Historical;2;2;Few (~1 to 50 deaths);;;;;;;;;2;Few (~1 to 50 deaths);;;;;;;;;37.734,15.004;;
1939;08;17;;;Tori-shima;Izu Is-Japan;Japan;403;Stratovolcano;Historical;2;2;Few (~1 to 50 deaths);;;;;;;;;2;Few (~1 to 50 deaths);;;;;;;;;30.48,140.32;;
1940;06;20;;;Karangetang [Api Siau];Sangihe Is-Indonesia;Indonesia;1784;Stratovolcano;Historical;2;1;Few (~1 to 50 deaths);;;2.0;Few (~1 to 50 deaths);;;;;1;Few (~1 to 50 deaths);;;2.0;Few (~1 to 50 deaths);;;;;2.78,125.48;;
1947;07;06;;;Asama;Honshu-Japan;Japan;2560;Complex volcano;Historical;2;11;Few (~1 to 50 deaths);;;;;;;;;11;Few (~1 to 50 deaths);;;;;;;;;36.4,138.53;;
1957;08;;;;Oshima;Izu Is-Japan;Japan;758;Stratovolcano;Historical;2;1;Few (~1 to 50 deaths);;;53.0;Some (~51 to 100 deaths);;;;;1;Few (~1 to 50 deaths);;;53.0;Some (~51 to 100 deaths);;;;;34.73,139.38;;
1979;09;06;;;Aso;Kyushu-Japan;Japan;1592;Caldera;Historical;2;3;Few (~1 to 50 deaths);;;11.0;Few (~1 to 50 deaths);;;;;3;Few (~1 to 50 deaths);;;11.0;Few (~1 to 50 deaths);;;;;32.88,131.1;;
1980;12;25;;;Hood;US-Oregon;United States;3426;Stratovolcano;Historical;;1;Few (~1 to 50 deaths);;;;;;;;;1;Few (~1 to 50 deaths);;;;;;;;;45.374,-121.694;;
1989;08;26;;;Kirishima;Kyushu-Japan;Japan;1700;Shield volcano;Historical;;2;Few (~1 to 50 deaths);;;;;;;;;2;Few (~1 to 50 deaths);;;;;;;;;31.93,130.87;;
1994;05;29;;;Aso;Kyushu-Japan;Japan;1592;Caldera;Historical;1;1;Few (~1 to 50 deaths);;;;;;;;;1;Few (~1 to 50 deaths);;;;;;;;;32.88,131.1;;
2001;05;14;;;Etna;Italy;Italy;3350;Stratovolcano;Historical;3;1;Few (~1 to 50 deaths);;;;;;LIMITED (roughly corresponding to less than $1 million);;;1;Few (~1 to 50 deaths);;;;;;LIMITED (roughly corresponding to less than $1 million);;;37.734,15.004;;
2011;02;23;;;Bulusan;Luzon-Philippines;Philippines;1565;Stratovolcano;Historical;2;1;Few (~1 to 50 deaths);;;;;;;;;1;Few (~1 to 50 deaths);;;;;;;;;12.77,124.05;;
2014;02;13;;;Kelut;Java;Indonesia;1731;Stratovolcano;Historical;;7;Few (~1 to 50 deaths);;;;;;SEVERE (~>$5 to $24 million);4098;Very Many (~1001 or more houses);7;Few (~1 to 50 deaths);;;;;;SEVERE (~>$5 to $24 million);4098;Very Many (~1001 or more houses);-7.93,112.308;;
-1370;;;;;Pago;New Britain-SW Pac;Papua New Guinea;742;Caldera;Historical;6;;;;;;;;;;;;;;;;;;;;;-5.58,150.52;;
710;;;;;Pago;New Britain-SW Pac;Papua New Guinea;742;Caldera;Historical;6;;;;;;;;;;;;;;;;;;;;;-5.58,150.52;;
1853;07;13;;;Mayon;Luzon-Philippines;Philippines;2462;Stratovolcano;Historical;3;34;Few (~1 to 50 deaths);;;;;;;;Few (~1 to 50 houses);34;Few (~1 to 50 deaths);;;;;;;;Few (~1 to 50 houses);13.257,123.685;;
1872;11;03;;;Merapi;Java;Indonesia;2947;Stratovolcano;Historical;4;200;Many (~101 to 1000 deaths);;;;;;SEVERE (~>$5 to $24 million);;Many (~101 to 1000 houses);200;Many (~101 to 1000 deaths);;;;;;SEVERE (~>$5 to $24 million);;Many (~101 to 1000 houses);-7.542,110.442;;
1878;01;10;Tsunami;;Yasur;Vanuatu-SW Pacific;Vanuatu;361;Stratovolcano;Historical;3;;;;;;;;;;;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;-19.52,169.425;;
1905;08;04;Tsunami;;Savai'i;Samoa-SW Pacific;Samoa;1858;Shield volcano;Historical;2;;;;;;;;SEVERE (~>$5 to $24 million);;Many (~101 to 1000 houses);;;;;;;;SEVERE (~>$5 to $24 million);;Many (~101 to 1000 houses);-13.612,-172.525;;
1918;10;12;;;Katla;Iceland-S;Iceland;1512;Subglacial volcano;Historical;4;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;63.63,-19.05;;
1944;08;20;Tsunami;;Stromboli;Italy;Italy;926;Stratovolcano;Historical;2;;;;;;;;;;;;;;;;;;;;;38.789,15.213;;
1952;09;26;Tsunami;;Myojun Knoll;Izu Is-Japan;Japan;360;Submarine volcano;Holocene;2;;;;;;;;;;;;;;;;;;;;;32.1,139.85;;
1955;07;26;;;Carran-Los Venados;Chile-C;Chile;1114;Pyroclastic cone;Historical;4;2;Few (~1 to 50 deaths);;;;;;;;;2;Few (~1 to 50 deaths);;;;;;;;;-40.35,-72.07;;
1961;05;08;;;Merapi;Java;Indonesia;2947;Stratovolcano;Historical;3;6;Few (~1 to 50 deaths);;;6.0;Few (~1 to 50 deaths);;MODERATE (~$1 to $5 million);;Many (~101 to 1000 houses);6;Few (~1 to 50 deaths);;;6.0;Few (~1 to 50 deaths);;MODERATE (~$1 to $5 million);;Many (~101 to 1000 houses);-7.542,110.442;;
1975;06;17;;;Arenal;Costa Rica;Costa Rica;1657;Stratovolcano;Historical;3;2;Few (~1 to 50 deaths);;;;Few (~1 to 50 deaths);;;;;2;Few (~1 to 50 deaths);;;;Few (~1 to 50 deaths);;;;;10.463,-84.703;;
