Year,Volcanic Explosivity Index,Volcano Type,Flag Tsunami,Flag Earthquake,Name and Country
2001 dC,2.0,Estratovolcán,False,False,Merapi (Indonesia)
2002 dC,1.0,Estratovolcán,False,False,"Nyiragongo (Congo, DRC)"
2011 dC,0.0,Estratovolcán,False,False,Karangetang [Api Siau] (Indonesia)
2012 dC,0.0,Volcán En Escudo,False,False,Kilauea (United States)
2012 dC,0.0,Volcán En Escudo,False,False,Kilauea (United States)
1631 dC,0.0,Volcán En Escudo,False,True,Dama Ali (Ethiopia)
1659 dC,4.0,Estratovolcán,True,False,Teon (Pacific Ocean)
1664 dC,0.0,Volcán Complejo,True,False,Iwo-Tori-shima (Japan)
1707 dC,0.0,Volcán En Escudo,True,False,Santorini (Greece)
1729 dC,2.0,Caldera,False,False,Krafla (Iceland)
1780 dC,4.0,Estratovolcán,False,False,Sakura-jima (Japan)
1835 dC,0.0,Caldera,False,True,Banda Api (Pacific Ocean)
1843 dC,0.0,Estratovolcán,True,False,Soufriere Guadeloupe (Guadeloupe)
1854 dC,5.0,Estratovolcán,False,False,Shiveluch (Russia)
1856 dC,0.0,Estratovolcán,True,False,Shishaldin (United States)
1860 dC,2.0,Estratovolcán,False,False,Fuego (Guatemala)
1868 dC,0.0,Estratovolcán,True,True,Etna (Italy)
1872 dC,4.0,Estratovolcán,False,False,Merapi (Indonesia)
1875 dC,0.0,Estratovolcán,False,False,Kelut (Indonesia)
1878 dC,0.0,Estratovolcán,True,True,Yasur (Vanuatu)
1909 dC,2.0,Estratovolcán,False,True,"Cameroon, Mt. (Cameroon)"
1914 dC,3.0,Caldera,False,False,Pago (Papua New Guinea)
1917 dC,1.0,Arandela De Cúpula,False,False,Okataina (New Zealand)
1930 dC,2.0,Caldera,True,False,Krakatau (Indonesia)
1930 dC,3.0,Estratovolcán,True,False,Stromboli (Italy)
1934 dC,0.0,Estratovolcán,False,False,Hood (United States)
1946 dC,4.0,Estratovolcán,True,False,Sarychev Peak (Russia)
1954 dC,0.0,Estratovolcán,True,False,Stromboli (Italy)
1955 dC,3.0,Estratovolcán,False,False,Sakura-jima (Japan)
1962 dC,0.0,Estratovolcán,False,False,Merapi (Indonesia)
1990 dC,4.0,Estratovolcán,False,False,Kelut (Indonesia)
1993 dC,1.0,Volcán Complejo,False,False,Unzen (Japan)
2010 dC,3.0,Estratovolcán,False,False,Karangetang [Api Siau] (Indonesia)
2014 dC,0.0,Volcán En Escudo,False,False,Kilauea (United States)
2016 dC,0.0,Estratovolcán,False,False,Sinabung (Indonesia)
2019 dC,4.0,Estratovolcán,False,False,Manam (Papua New Guinea)
2019 dC,0.0,Estratovolcán,False,False,Sinabung (Indonesia)
