Year,Volcanic Explosivity Index,Volcano Type,Flag Tsunami,Flag Earthquake,Name and Country
1854 dC,3.0,Estratovolcán,True,False,Alaid (Russia)
1863 dC,0.0,Estratovolcán,True,True,Yasur (Vanuatu)
1872 dC,4.0,Estratovolcán,False,False,Merapi (Indonesia)
1884 dC,0.0,Caldera,True,False,Krakatau (Indonesia)
1888 dC,3.0,Estratovolcán,True,False,Ritter Island (Papua New Guinea)
1888 dC,4.0,Estratovolcán,False,False,Bandai (Japan)
1913 dC,2.0,Estratovolcán,False,False,Semeru (Indonesia)
1916 dC,4.0,Estratovolcán,False,False,Tungurahua (Ecuador)
1920 dC,3.0,Estratovolcán,False,False,Merapi (Indonesia)
1946 dC,2.0,Estratovolcán,False,False,Semeru (Indonesia)
1948 dC,2.0,Volcán Complejo,False,False,Iliwerung (Indonesia)
1950 dC,3.0,Estratovolcán,False,False,Camiguin (Philippines)
1950 dC,2.0,Volcán Complejo,False,False,Asama (Japan)
1951 dC,0.0,Estratovolcán,True,True,Cosiguina (Nicaragua)
1956 dC,5.0,Estratovolcán,True,False,Bezymianny (Russia)
1958 dC,2.0,Caldera,True,False,Kuwae (Vanuatu)
1967 dC,3.0,Estratovolcán,False,False,Semeru (Indonesia)
1974 dC,3.0,Estratovolcán,False,False,Sakura-jima (Japan)
1979 dC,1.0,Volcán Complejo,False,False,Dieng Volc Complex (Indonesia)
1984 dC,3.0,Estratovolcán,False,False,Mayon (Philippines)
1988 dC,3.0,Caldera,False,False,Banda Api (Pacific Ocean)
1993 dC,1.0,Caldera,False,False,Krakatau (Indonesia)
1996 dC,2.0,Estratovolcán,True,False,Karymsky (Russia)
1997 dC,0.0,Estratovolcán,True,False,Soufriere Hills (Montserrat)
2006 dC,2.0,Estratovolcán,False,False,Bulusan (Philippines)
2007 dC,4.0,Estratovolcán,False,False,Manam (Papua New Guinea)
2007 dC,0.0,Estratovolcán,False,False,"Tair, Jebel at (Yemen)"
2011 dC,0.0,Volcán En Escudo,False,False,Kirishima (Japan)
2012 dC,0.0,Volcán En Escudo,False,False,Tolbachik (Russia)
2018 dC,1.0,Volcán En Escudo,True,True,Kilauea (United States)
2020 dC,0.0,Estratovolcán,True,True,Ijen (Indonesia)
197 aC,3.0,Volcán En Escudo,True,True,Santorini (Greece)
60 dC,6.0,Estratovolcán,False,False,Bona-Churchill (United States)
1631 dC,5.0,Volcán Complejo,True,True,Vesuvius (Italy)
1682 dC,3.0,Volcán Complejo,False,False,Vesuvius (Italy)
1757 dC,0.0,Grieta De Viento,False,True,San Jorge (Portugal)
1812 dC,4.0,Estratovolcán,False,False,Soufriere St. Vincent (St. Vincent & the Grenadines)
1827 dC,2.0,Estratovolcán,False,False,Avachinsky (Russia)
1846 dC,2.0,Estratovolcán,False,False,Tangkubanparahu (Indonesia)
