Genre,Original_Language,Release_Date,Vote_Average,Overview,Title
"Horror, Crime",en,2010-10-21,6.0,battle; unleash; secrets,Saw 3D
"Action, Drama, Fantasy",en,2017-05-10,6.5,arthur’s; birthright; truly,King Arthur: Legend of the Sword
"Horror, Mystery",en,2020-10-08,5.7,carefree; single; befalling,Initiation
"Family, Fantasy, Adventure, Comedy",en,2020-11-18,6.6,claus; christmas; pole,The Christmas Chronicles: Part Two
"Comedy, Science Fiction",en,2019-06-12,6.0,scum; mole; universe,Men in Black: International
"Thriller, Drama, Crime, Horror",en,2000-04-13,7.4,illogical; executive; coworkers,American Psycho
"Animation, Action, Adventure, Fantasy, Science Fiction",en,2020-05-05,8.4,titans; poorly; inhabitants,Justice League Dark: Apokolips War
"Thriller, Horror, Crime",en,2013-08-25,6.3,make; naturally; unthinkable!,I Spit on Your Grave 2
Comedy,en,2009-09-12,4.1,match; bestball; undergrad,Hole in One
"Family, Fantasy, Adventure, Comedy",en,2020-10-14,6.2,monsters; boy; secret,A Babysitter's Guide to Monster Hunting
"Horror, Thriller",en,2013-09-12,6.7,connected; left; childhood,Insidious: Chapter 2
"War, Action, Drama",no,2012-03-09,6.9,27; themselves; grotli,Into the White
"Action, Animation, Adventure, Fantasy, Music",en,2022-04-13,0.0,adrien; agreste; cat,Ladybug & Cat Noir: Awakening
"Adventure, Fantasy, Science Fiction, Family, Action",en,2020-06-12,5.7,12yearold; underground; masterminds,Artemis Fowl
"Adventure, Action, Comedy, Thriller, Crime",en,2003-07-18,6.6,mike; marcus’; bullets,Bad Boys II
"Horror, Thriller",en,2017-10-23,5.8,nica; isn't; leads,Cult of Chucky
Comedy,en,2011-08-05,6.1,kids; mitch; night,The Change-Up
"Crime, Drama, Thriller",en,1990-12-25,7.4,dealings; sins; under,The Godfather: Part III
"Adventure, Drama, Action",en,2012-11-20,7.4,zebra; pacific; named,Life of Pi
"Adventure, Fantasy, Drama, Action",en,2011-11-03,3.9,prophecy; land; thrown,In the Name of the King 2: Two Worlds
"Drama, War",en,1987-06-26,8.1,camp; usvietnam; effects,Full Metal Jacket
"Science Fiction, Action, Animation",en,2016-05-13,7.4,step; batman; then,Justice League vs. Teen Titans
Documentary,en,2021-04-23,6.7,television; songs; show,Street Gang: How We Got to Sesame Street
Drama,en,2006-09-29,7.5,fear; losing; surprising,Facing the Giants
"Comedy, Family, Animation",en,2017-10-05,6.7,big; enters; wanting,Woody Woodpecker
"Comedy, War, Drama",en,2019-10-18,8.1,boy; attic; upside,Jojo Rabbit
"Horror, Science Fiction, Thriller",en,2020-10-06,6.5,really; undergoes; causes,Black Box
"Comedy, Family, Fantasy",en,2010-01-14,5.5,youthful; fan; hockey,Tooth Fairy
"Adventure, Animation, Comedy, Family",en,2016-06-16,7.0,reunited; dory; parents?,Finding Dory
"Adventure, Animation, Comedy, Family",en,2015-12-17,6.0,stop; propose; dave,Alvin and the Chipmunks: The Road Chip
"Animation, Comedy, Family",en,2021-02-04,6.9,achieve; animal’; unbearably,Daisy Quokka: World’s Scariest Animal
"Adventure, Animation, Drama, Family",en,1981-07-10,7.1,adorable; fun; object,The Fox and the Hound
"Animation, Action, Fantasy",ja,2021-10-12,6.0,orc; raiden; work,Bright: Samurai Soul
"Family, Adventure, Comedy, Science Fiction, Crime",en,1966-07-30,6.3,secret; dehydrates; faces,Batman
"Adventure, Action, Fantasy",en,2008-07-01,5.4,quest; supernatural; rick,The Mummy: Tomb of the Dragon Emperor
Horror,en,2007-03-16,6.4,fair; ventriloquist; expected,Dead Silence
"Family, Comedy",en,2021-11-24,6.5,christmas; video; chicago,8-Bit Christmas
"Animation, Adventure, Comedy, Family, Science Fiction, Action",en,2021-04-22,8.0,last; trip; family's,The Mitchells vs. the Machines
Fantasy,en,2015-02-24,5.4,actionadventure; search; gareth,Dragonheart 3: The Sorcerer's Curse
Drama,en,2006-12-14,7.9,he's; career; begin,The Pursuit of Happyness
"Action, Adventure",en,2015-07-23,7.2,committed; destroying; ethan,Mission: Impossible - Rogue Nation
Horror,en,1984-11-09,7.3,real; angry; causing,A Nightmare on Elm Street
"Action, Adventure, Thriller",en,2011-09-22,6.3,leader; exspecial; game,Killer Elite
"Adventure, Drama, Action",en,2005-12-12,6.8,producer; movie; ape,King Kong
"Action, Adventure, War",en,2007-03-07,7.2,said; 480; king,300
Drama,ja,2021-08-18,7.6,appointed; introverted; between,Drive My Car
"Science Fiction, Action, Adventure",en,1978-12-13,7.1,planet; summon; nefarious,Superman
"Adventure, Action, Science Fiction",en,2002-05-15,6.5,jedi; anakin; attempt,Star Wars: Episode II - Attack of the Clones
"Comedy, Family",en,1997-12-12,5.3,microchip; nefarious; alex,Home Alone 3
"Crime, Thriller",en,2014-09-10,6.0,suburban; invades; claiming,No Good Deed
Comedy,en,2021-04-23,6.1,fun; lori's; together,We Broke Up
"Animation, Family, Fantasy",en,2010-01-25,7.2,surfer; learns; mother,Barbie in A Mermaid Tale
"Action, Drama, Horror, Science Fiction",en,2011-09-15,5.1,lost; rages; five,The Day
"Science Fiction, Action, Thriller",en,1990-11-20,6.2,chief; hunting; residents,Predator 2
"Adventure, Family, Mystery, Science Fiction",en,2015-05-19,6.2,tomorrowland; bursting; teen,Tomorrowland
"Comedy, Family, Fantasy",en,1993-11-19,6.9,siblings; pubert; parents,Addams Family Values
"Comedy, Romance",es,2016-05-13,7.7,onenight; fathertobe; immature,Don't Blame the Kid
"Animation, Mystery, Horror, Science Fiction",ja,2015-10-02,6.1,scouted; around; use,The Empire of Corpses
"Action, Adventure, Science Fiction",en,2013-05-05,7.3,weapon; within; state,Star Trek Into Darkness
Documentary,en,2016-10-16,7.1,clips; cast; season,The Walking Dead: The Journey So Far
"Action, Science Fiction, Horror",en,2016-02-26,5.0,survival; planet—with; cure,Pandemic
"Horror, Thriller",en,2006-03-10,6.4,cult; carter; hills,The Hills Have Eyes
"Comedy, Crime",es,2021-12-11,7.0,then; wealthy; christmas,Operation Merry Christmas: The Elf Con
"Fantasy, Drama, Romance",en,1990-12-05,7.7,castaway; unfinished; named,Edward Scissorhands
"Science Fiction, Animation, Action, Adventure",en,2013-07-30,7.9,timeline; flash; fellow,Justice League: The Flashpoint Paradox
"Western, Comedy",en,2015-12-11,5.2,goes; adventurefilled; outlaw,The Ridiculous 6
"Animation, Comedy, Adventure, Family",es,2012-08-10,6.0,mordon; reality; tad,"Tad, the Lost Explorer"
Drama,en,1979-06-15,7.2,fight; unforgettable; course,Rocky II
Documentary,en,2021-05-27,8.1,guests; evening; unforgettable,Friends: The Reunion
"Action, Adventure, Science Fiction",en,1996-06-25,6.8,cities; lay; july,Independence Day
"Drama, History",en,2021-12-10,6.6,end; ball; marriage,Being the Ricardos
"Fantasy, Animation, Horror, Action, Thriller, Science Fiction, Family, Mystery",en,2005-10-18,7.0,original; gotham; city,The Batman vs. Dracula
"Comedy, Romance",en,2003-08-01,6.2,see; throw; grandmother,American Wedding
"Action, Drama, History, War",en,1995-03-14,7.9,warrior; murron; slaughter,Braveheart
"Action, Thriller, Science Fiction",en,2008-01-15,6.6,upon; told; view,Cloverfield
"Animation, Family",en,2012-02-22,7.0,who's; it's; seaquel,Barbie in A Mermaid Tale 2
"Animation, Fantasy, Family",ja,2021-01-27,6.1,headstrong; discovers; orphan,Earwig and the Witch
"Drama, Comedy, Family",tr,2019-10-10,8.3,innocence; disability; death,Miracle in Cell No. 7
"Drama, Romance",es,2008-10-17,5.5,prostitution; fall; french,Diary of a Nymphomaniac
"Fantasy, Comedy, Family",en,1995-05-26,6.3,falls; casper; brings,Casper
"Action, Crime, Drama, Thriller",en,1995-12-15,7.9,though; thief; los,Heat
Comedy,es,2021-08-12,7.8,latin; reviews; adjusted,Lokillo: Nothing's the Same
"Science Fiction, Action, Adventure, Animation",en,2015-04-14,7.3,meanwhile; secretive; rule,Batman vs. Robin
Comedy,en,2015-09-24,7.2,game; senior; ostin,The Intern
"Action, Thriller",en,2018-07-11,6.3,blazing; fbi; building,Skyscraper
"Fantasy, Family, Comedy, Animation",en,2013-07-30,5.8,millions; greatest; sorcerer,The Smurfs 2
"Adventure, Family, Fantasy",en,2016-06-01,6.2,bfg; little; hears,The BFG
"Animation, Action, Adventure, Comedy, Family",en,2019-12-04,7.7,creating; walter; exact,Spies in Disguise
"Action, Adventure, Science Fiction",en,2016-12-21,5.4,oppressive; society; knights,Assassin's Creed
"Comedy, Romance",en,2014-10-16,7.8,completely; best; fleeting,"Love, Rosie"
"Horror, Thriller",en,1999-07-11,6.3,blair; october; witch,Curse of the Blair Witch
"Drama, Mystery, Thriller",es,2017-01-06,8.2,strategy; virginia; order,The Invisible Guest
"Animation, Action, Fantasy",ja,1989-07-15,6.6,rescue; dead; son,Dragon Ball Z: Dead Zone
"Horror, Drama, Mystery",en,2019-07-03,7.1,activities; place; invite,Midsommar
Comedy,es,2021-06-15,6.3,elude; comedian; sexist,Mi otra yo
"Horror, Mystery, Thriller",en,2017-09-26,4.8,day; tubbs; teams,Jeepers Creepers 3
"Fantasy, Family, Comedy, Horror",en,2018-09-15,6.2,creepy); walls; rebelliously,The House with a Clock in Its Walls
"Mystery, Drama, Romance, Thriller",en,2003-03-01,5.2,college; competitive; married,Wicked Minds
"Horror, Thriller",en,2007-11-09,6.2,eve; christmas; sight,P2
"Horror, Thriller",en,1991-08-30,5.9,eight; teenager; film,Child's Play 3
"Fantasy, Action",en,2003-02-14,5.2,superhumanlyelevated; remaining; using,Daredevil
"Action, Adventure, Comedy",en,2011-08-11,5.7,criminals; strap; mere,30 Minutes or Less
Drama,en,2021-11-17,7.0,attention; underground; son,Bruised
"Crime, Mystery, Thriller",en,1995-09-22,8.3,researches; next; based,Se7en
"Mystery, Thriller, Horror",en,2018-09-06,6.6,seems; unlikely; elderly,Greta
"Horror, Thriller, Mystery",en,2016-01-22,5.9,english; events; nanny,The Boy
"Mystery, Fantasy, Adventure, Comedy",en,2004-03-24,6.0,gang's; grand; honor,Scooby-Doo 2: Monsters Unleashed
Drama,en,2017-12-20,8.0,barnum; famous; became,The Greatest Showman
Horror,en,2009-04-26,5.2,utter; surgeon; explains,The Human Centipede (First Sequence)
Comedy,es,2015-07-19,7.5,relationship; enrique; habit,Clean Sex
"Animation, Family, Romance",en,2005-10-04,7.1,annika; princess; horse,Barbie and the Magic of Pegasus 3-D
"Fantasy, Comedy",en,2003-05-23,6.7,responds; divine; endowing,Bruce Almighty
"Horror, Thriller",en,2009-03-15,6.3,needs; cursed; she's,Drag Me to Hell
"Action, Thriller, Science Fiction",en,2012-09-26,6.9,close; waiting; mob,Looper
"Comedy, Romance",es,2021-12-24,6.3,determined; holiday; christmas,1000 Miles From Christmas
"Action, Drama, Adventure",en,2018-02-16,5.8,losing; cruel; everything,Samson
"Action, Drama, Mystery, Thriller, Crime",en,2007-03-22,7.1,exactly; killer; marksman,Shooter
"Animation, Science Fiction",ja,2013-09-07,6.6,space; captain; seek,Space Pirate Captain Harlock
"Thriller, Crime",en,2004-12-09,6.6,ocean; reunites; hot,Ocean's Twelve
"Animation, Drama",ja,2014-07-19,8.0,due; live; there,When Marnie Was There
"Action, Adventure, Animation, Science Fiction, Drama",en,2011-04-09,6.7,hal's; arisia; several,Green Lantern: Emerald Knights
"Science Fiction, Horror",en,2018-02-22,6.4,nature; zone; expedition,Annihilation
"Adventure, Animation, Family, Romance",en,1995-06-14,7.0,tribe; pocahontas; century,Pocahontas
"Comedy, Horror",en,2019-06-28,6.4,basement; working; education…written,Porno
"Science Fiction, Thriller, Drama, Mystery",en,2017-08-18,7.2,limited; identical; overpopulation,What Happened to Monday
"Animation, Adventure, Family, Comedy",de,2019-12-11,6.7,retrieve; squirrel; stone,Latte and the Magic Waterstone
"Comedy, Horror",en,2010-08-20,5.4,terror; 5000; cut,Piranha 3D
"Horror, Comedy, Fantasy, Thriller",en,2012-04-12,6.6,remote; woods; weekend,The Cabin in the Woods
"Animation, Action, Fantasy, Science Fiction",ja,2021-10-30,8.1,art; akihiko's; solo,Sword Art Online the Movie -Progressive- Aria of a Starless Night
Horror,en,1980-05-09,6.4,trying; summer; murdered,Friday the 13th
"Drama, Thriller, Mystery",fr,2016-12-07,5.5,tells; call; french,Sex Doll
"Animation, Action, Family, Science Fiction",en,2009-10-15,6.3,journey; robot; betrayal,Astro Boy
"Comedy, Romance",es,2021-09-29,6.6,three; assistant; got,Sounds Like Love
"Action, Thriller, Science Fiction",en,2003-07-02,6.1,t1000; tx; assassin,Terminator 3: Rise of the Machines
"Animation, Adventure, Fantasy",ja,2018-10-06,7.2,seconds; emilia?; anyone,Re:ZERO -Starting Life in Another World- Memory Snow
"Action, Comedy",en,2012-12-06,6.1,investigator; refined; several,So Undercover
"Adventure, Horror, Comedy",en,2015-08-05,6.3,series; door; meets,Goosebumps
Horror,en,1981-09-10,7.3,weekend; surrounding; unwittingly,The Evil Dead
"Action, Thriller",en,2012-08-08,6.2,previous; cross; experiences,The Bourne Legacy
"Drama, Romance",en,2019-12-25,7.9,america; sisters; come,Little Women
Drama,ru,2019-11-28,8.1,no; like; striker,Lev Yashin. The Dream Goalkeeper
"Drama, Fantasy, Action",ko,2017-12-14,8.1,innocent; guardians; proves,Along with the Gods: The Two Worlds
"Thriller, Drama, Science Fiction",en,2018-12-13,6.9,children; society; drives,Bird Box
"Fantasy, Action, Thriller",en,2003-09-19,6.8,werewolf; werewolfhunting; prowess,Underworld
"Action, Drama, Adventure",en,1986-05-16,7.0,classroom; pete; lt,Top Gun
"Comedy, Drama, Romance",en,2011-07-29,7.2,under; suddenly; wing,"Crazy, Stupid, Love."
Western,it,1966-12-23,8.5,american; three; loner,"The Good, the Bad and the Ugly"
"Action, Comedy, Crime, Thriller",en,2013-07-18,6.5,reunites; elite; operatives,RED 2
"Comedy, Crime, Thriller, Drama",en,2021-02-19,6.7,care; guardian; some,I Care a Lot
"Comedy, Horror",en,2017-10-13,6.1,satanic; hot; quiet,The Babysitter
"Drama, Horror, Crime",en,2011-10-06,4.8,fantasy; sets; realize,The Human Centipede 2 (Full Sequence)
"Action, Drama, History",en,1959-11-18,7.8,friend; charioteer; jew,Ben-Hur
Comedy,en,2005-05-27,6.6,pro; guards; coach,The Longest Yard
Action,en,2018-06-05,5.1,former; ren; prisons,Escape Plan 2: Hades
"Fantasy, Comedy, Family",en,2005-10-21,6.6,simon; hires; greataunt,Nanny McPhee
"Animation, Adventure, Family, Fantasy",en,2010-07-29,6.7,launch; rescue; special,Tinker Bell and the Great Fairy Rescue
"Action, Science Fiction",en,2020-03-05,6.8,both; anything; ray,Bloodshot
"Adventure, Action, Science Fiction",en,1999-05-19,6.5,returned; slave; sith,Star Wars: Episode I - The Phantom Menace
Horror,en,2015-05-20,5.2,youngest; attacks; together,Poltergeist
"Animation, Comedy, Family",en,2007-03-23,6.9,things; orphanage; creating,Meet the Robinsons
Documentary,en,2015-05-29,5.9,steady; stream; porn,Hot Girls Wanted
"Action, Horror",ko,2019-07-31,6.8,wounds; havoc; wreak,The Divine Fury
"Crime, Drama, Western",en,2012-08-29,7.0,profits; franklin; gang,Lawless
"Horror, Thriller, Mystery",en,2009-01-09,5.2,fights; possession; slowly,The Unborn
"Drama, Horror, Thriller",no,2020-10-22,5.6,spectacle?; hope; performance,Cadaver
"Crime, Action, Thriller",en,2021-07-16,6.0,retired; crime; egalitarianism,Out of Death
"Comedy, Drama",es,2009-03-27,4.5,lies; holidays; summer,"Sex, Party and Lies"
"Horror, Thriller",en,2021-10-01,5.5,she's; unlikely; confidence,Black as Night
"Adventure, Animation, Family, Action",en,2018-10-04,7.6,mayor; grants; day,PAW Patrol: Mighty Pups
"Horror, Comedy",en,2005-02-25,5.5,attacks; siblings; slowly,Cursed
"Action, Adventure, Science Fiction, Thriller",en,2004-05-26,6.5,tidal; beginning; city,The Day After Tomorrow
Science Fiction,en,2016-02-17,5.4,set; global; future,The Osiris Child
"Adventure, Drama, Fantasy",en,2021-07-29,6.5,men; nephew; arthurian,The Green Knight
"Drama, Crime, Thriller",en,2021-09-03,6.4,execute; vulnerable; relationship,The Card Counter
"Drama, Adventure, Family",en,2019-01-10,7.3,beloved; adventure; dog,A Dog's Way Home
"Thriller, Science Fiction, Mystery",en,2011-03-30,7.3,captain; commuter; soldier,Source Code
"Family, Animation, Adventure, Comedy",en,2015-06-17,6.4,husband; recruited; overkill,Minions
Drama,nl,2019-07-03,7.5,meets; remaining; come,My Extraordinary Summer With Tess
"Science Fiction, Horror",ja,2015-04-25,7.0,grow; taking; shin,Parasyte: Part 2
"Animation, Action, Fantasy",en,2020-04-12,8.3,there; cage; action,Mortal Kombat Legends: Scorpion's Revenge
"Science Fiction, Action, Adventure, Animation, Family",en,2010-09-28,7.1,attention; teenaged; overlord,Superman/Batman: Apocalypse
Horror,en,2020-10-20,6.7,liquorsmuggling; vincent—but; history,The Amityville Harvest
"Fantasy, Horror",en,2020-10-08,6.9,end; chronicles; history,The Mortuary Collection
"Horror, Thriller",ja,2010-11-20,6.1,care; records; well,Paranormal Activity: Tokyo Night
"Animation, Adventure, Fantasy",ja,2005-08-06,6.6,both; naruto; certain,Naruto: Legend of the Stone of Gelel
"Animation, Action",en,2014-02-02,7.6,earth; consisting; flash,Justice League: War
Horror,en,2014-08-22,5.3,learns; hobb; hills,Wrong Turn 6: Last Resort
Adventure,en,2009-11-25,6.2,alien; ben; prevent,Ben 10 Alien Swarm
"Action, Adventure, Family",zh,2014-01-09,5.7,china; later; thus,The Monkey King
"Animation, Comedy, Family, Mystery, TV Movie",en,1988-11-13,7.4,it's; werewolf; human,Scooby-Doo! and the Reluctant Werewolf
"Animation, War, Drama",en,2010-02-16,7.4,universe; game; directors,Halo Legends
"War, Drama, Action, Thriller",en,2019-12-25,8.0,attack; height; deliver,1917
"Fantasy, Action, Adventure",en,2020-02-04,7.0,swashbuckling; whose; epic,Dragonheart: Vengeance
"Drama, Mystery, Thriller",ja,2019-05-03,7.7,curriculum; smarts; keep,Kakegurui: The Movie
"Adventure, Animation, Comedy, Family, TV Movie",en,2016-03-19,6.4,service; business; easter,Ice Age: The Great Egg-Scapade
"War, Drama, Horror",it,1975-11-22,6.5,corrupted; mental; 120,"Salò, or the 120 Days of Sodom"
"Family, Animation, Adventure, Fantasy",en,2018-09-20,6.8,human; thought; news,Smallfoot
"Animation, Fantasy, Family",en,2008-02-26,6.7,queen; fairytopia; butterfly,Barbie Mariposa
"Fantasy, Adventure",ru,2021-12-23,7.3,21; travel; vasilisa,The Last Warrior: A Messenger of Darkness
"Action, Science Fiction, Adventure",en,2023-06-07,0.0,predacons; maximals; autobots,Transformers: Rise of the Beasts
"Action, Drama",en,2022-05-25,0.0,would; advancement; top,Top Gun: Maverick
"Drama, Crime",en,1990-09-12,8.5,conway; neighbourhood; hill,GoodFellas
"Animation, Family, Adventure, Science Fiction",en,2009-03-19,6.2,monsters; outer; murphy,Monsters vs Aliens
"Thriller, Action, Crime",en,2012-09-11,6.0,children; hired; whose,6 Bullets
"Romance, Comedy",en,2009-09-16,6.5,until; there; relationship,The Rebound
"Adventure, Animation, Fantasy",ja,1984-03-11,7.9,led; jungle; strongholds,Nausicaä of the Valley of the Wind
"Drama, Romance, Science Fiction",en,2016-12-21,6.9,its; sleep; 90,Passengers
"Crime, Thriller, Action",en,2015-01-13,5.4,cyber; kong; chicago,Blackhat
"Drama, Thriller, Crime",en,2005-09-23,7.2,spotlight; selfdefense; seemingly,A History of Violence
"Horror, Thriller",en,2012-05-24,5.2,city; 'extreme; go,Chernobyl Diaries
"Science Fiction, Drama",en,1971-12-19,8.2,britain; agency; destroying,A Clockwork Orange
"Animation, Family",en,2009-09-15,7.2,paris; –; musketeer!,Barbie and the Three Musketeers
"Drama, Romance, Music",en,2018-10-03,7.5,fights; singer; demons,A Star Is Born
"Family, Adventure, Drama",en,2019-05-03,8.1,humans; dog; existence,A Dog's Journey
"Action, Adventure, Fantasy",en,2018-03-05,6.3,beyond; missing; fiercely,Tomb Raider
"Adventure, Animation, Comedy, Family",en,2016-09-22,6.6,storks; unauthorized; used,Storks
"Science Fiction, Horror",ja,2014-11-29,7.1,migi; coexist; feels,Parasyte: Part 1
Drama,es,2021-06-23,8.2,significant; la; plan,The House of Flowers: The Movie
"Animation, Adventure, Comedy, Family",en,2011-10-28,6.4,legend; long; lover,Puss in Boots
"Comedy, Family",en,2007-09-28,6.4,bachelor; carefree; star,The Game Plan
"Action, Crime, Thriller",en,2019-02-07,5.7,killing; coxman; even,Cold Pursuit
"Action, Animation, Adventure",ja,1992-09-17,7.2,pose; ball; series,Dragon Ball Z: Gather Together! Goku's World
"Animation, Family",en,2012-03-01,6.5,protect; thing; affection,The Lorax
"Drama, Science Fiction, Animation, Action",ja,1997-07-19,8.4,surrounding; followups; released,Neon Genesis Evangelion: The End of Evangelion
"Horror, Thriller",en,1990-11-09,6.2,andy's; andy's; hospital,Child's Play 2
"Science Fiction, Drama, Romance",en,2004-03-19,8.1,fade; do; memory,Eternal Sunshine of the Spotless Mind
"Horror, Thriller",en,2015-10-01,5.7,she’s; piece; make,I Spit on Your Grave III: Vengeance is Mine
"Crime, Drama, Mystery",en,2021-09-23,6.4,given; clouded; whose,My Son
"Adventure, Animation, Comedy, Family, Fantasy",en,2014-02-06,7.4,quest; extraordinary; lego,The Lego Movie
"Horror, Thriller, War, Fantasy",en,2020-07-03,6.1,control; french; under,Ghosts of War
"Animation, Action, Thriller, Adventure, Fantasy",ja,2020-02-21,7.8,timer; digivice; digidestined,Digimon Adventure: Last Evolution Kizuna
Action,en,2014-03-20,6.6,krueger; plays; competing,Born to Race: Fast Track
"Adventure, Action, Thriller, Crime",en,2008-10-31,6.3,adventures; fights; imagined,Quantum of Solace
"Fantasy, Drama",en,2009-02-19,7.0,heal; murdered; desire,The Lovely Bones
Thriller,en,2015-08-26,6.9,safe; look; overseas,No Escape
"Drama, Fantasy, Romance",en,2008-12-25,7.6,eighties; starring; julia,The Curious Case of Benjamin Button
"Thriller, Horror, Comedy, Crime",en,2020-10-02,5.4,course; 1999; black,12 Hour Shift
"Animation, Family, Adventure, Comedy",en,2014-12-02,7.0,room; themselves; action,Toy Story That Time Forgot
"Action, Animation, Fantasy",en,2015-07-14,7.2,fight; versions; bombing,Justice League: Gods and Monsters
"Comedy, Drama, Romance",en,2021-09-16,7.3,personal; struggle; navigate,All About Sex
Horror,en,2017-02-01,5.0,doing; urban; holt,Rings
Drama,en,2001-12-28,7.6,value; highpriced; sam,I Am Sam
"Fantasy, Animation, Comedy, Crime, Family",en,1988-06-21,7.5,worried; pattycake; dead,Who Framed Roger Rabbit
"Romance, Comedy, Drama",en,2013-09-12,6.0,develops; works; watching,Don Jon
"Animation, Adventure, Family",en,2014-02-07,6.7,changed; begin; dog,Mr. Peabody & Sherman
"Action, Science Fiction",en,2003-06-19,5.5,transform; green; bruce,Hulk
"Drama, Romance",fr,1999-04-14,5.3,increasingly; appetites; schoolteacher,Romance
Drama,en,1982-05-28,6.8,rocky; apollo; pounding,Rocky III
"Science Fiction, Comedy, Horror",en,2020-10-29,6.1,luke; overlord; mimi,Psycho Goreman
"Action, Fantasy, Science Fiction",ru,2017-02-14,4.9,times; show; heroes,Guardians
"Comedy, Horror, Thriller",en,1993-01-08,5.6,trick; anyone; stolen,Leprechaun
"Adventure, Comedy, Fantasy, Family, Horror",en,2018-10-11,6.1,ghouls; l; dummy,Goosebumps 2: Haunted Halloween
"Crime, Drama",en,1976-02-09,8.2,perceived; violent; feed,Taxi Driver
"Animation, Family",en,1973-11-08,7.3,taxing; hiss; off,Robin Hood
"Fantasy, Drama, Romance",en,1998-11-12,7.2,black; pseudonym; arrives,Meet Joe Black
"Action, Thriller, Fantasy",en,2006-02-23,7.9,v; rescues; oppressive,V for Vendetta
Comedy,en,2014-05-08,6.2,house; unexpected; fraternity,Neighbors
"Family, Animation, Adventure, Comedy, Fantasy, Action",en,2003-07-02,6.9,framed; eris; legend,Sinbad: Legend of the Seven Seas
"Animation, Comedy, Action, Family",en,2012-01-13,7.1,discovers; flower; pascal,Tangled Ever After
"Action, Comedy, Crime",en,2013-08-02,6.5,set; officer; mob,2 Guns
"Comedy, Romance",en,2014-04-16,6.4,meets; three; sob,The Other Woman
"Adventure, Drama",en,2000-12-22,7.7,ways; top; heading,Cast Away
"Animation, Horror, Action",en,2012-09-25,6.9,right; tragedies; making,Resident Evil: Damnation
Comedy,ru,1965-08-16,8.0,follows; distribution; three,Operation Y and Other Shurik's Adventures
"Action, Adventure, Crime, Mystery",en,2009-01-01,7.2,england; unravel; battle,Sherlock Holmes
"Adventure, Family, Fantasy",en,2013-08-07,6.0,swarms; ancient; quest,Percy Jackson: Sea of Monsters
"Adventure, Animation, Action, Fantasy",ja,2013-12-27,7.2,association; isaac; use,Hunter x Hunter: The Last Mission
"Horror, Thriller, Crime",en,2008-10-23,6.2,jigsaw; secret; alive,Saw V
"Drama, War",en,2002-09-17,8.4,stays; szpilman; playing,The Pianist
"Comedy, Drama, Family",es,2021-02-19,7.8,hateful; bia; relationship,BIA: An Upside Down World
"Drama, Action, Thriller, Crime",es,2009-03-20,7.6,gangmembers; americanbound; longestranged,Sin Nombre
"Horror, Science Fiction, Thriller",en,2020-02-12,5.8,dimension; scientists; unseen,Intersect
"Horror, Mystery",en,2011-10-19,5.9,1988; befriend; katie,Paranormal Activity 3
"Animation, Science Fiction, Action",ja,2016-07-09,6.8,princess; goals; nothing,Kingsglaive: Final Fantasy XV
"Action, Thriller, Science Fiction",en,2018-10-02,6.4,brutal; gibson; infiltrates,Death Race: Beyond Anarchy
"Action, History, War",en,2001-12-28,7.4,casualties; somali; helicopters,Black Hawk Down
"Horror, Mystery",en,2009-10-16,6.3,unchallenged; game; strahm,Saw VI
"Drama, Comedy, Romance",en,2012-11-16,7.1,reconcile; moves; months,Silver Linings Playbook
"Drama, Family, Fantasy",en,1946-12-20,8.3,begin; skinflint; troubles,It's a Wonderful Life
"Animation, Comedy, Family, Science Fiction",en,2005-03-10,6.4,until; dreams; ratchet,Robots
"Drama, History, Romance",en,1996-09-11,5.7,prince; seeking; succeeds,Kama Sutra: A Tale of Love
"Comedy, Romance, Family",en,2011-07-06,5.4,secret; griffin; than,Zookeeper
"Drama, History, Family",en,2019-03-01,7.9,invents; famine; unconventional,The Boy Who Harnessed the Wind
"Animation, Fantasy, Adventure, Drama",ja,2018-08-24,6.6,hero; allergy; search,Modest Heroes
"Drama, Family",en,2017-11-13,8.2,august; elementary; facial,Wonder
Drama,en,1997-12-05,8.1,lambeau; work; potential,Good Will Hunting
"Adventure, Drama, Family",en,2007-02-15,7.3,country; she's; despite,Bridge to Terabithia
"Romance, Comedy",it,2021-10-22,6.2,cynical; counts; stella,Dog Years
"Fantasy, Comedy, Family, Adventure",en,2005-02-18,4.2,aspiring; loki; dog,Son of the Mask
"Science Fiction, Action, Animation",en,2018-05-09,7.2,force; risk; task,Suicide Squad: Hell to Pay
"Animation, Adventure, Romance",es,2013-07-18,6.5,revenge; he's; he's,Underdogs
"Thriller, Action, Mystery",en,2017-06-29,6.1,france; car; french,Overdrive
"Animation, Family",en,2008-09-03,7.4,alexa; melody; appears,Barbie and the Diamond Castle
"Action, Adventure, Animation, Comedy, Family",en,2019-01-26,6.7,invaders; five; it's,The Lego Movie 2: The Second Part
"Drama, History",pt,2018-03-29,5.4,pursuing; network; brazilian,Nothing to Lose
"Drama, Horror, Mystery",ko,2003-06-13,7.1,released; disturbing; haunting,A Tale of Two Sisters
"Animation, Romance, Drama",zh,2018-08-04,6.8,daunting; stories; trials,Flavors of Youth
"Adventure, Action",en,1989-05-24,7.8,marcus; sallah; indiana,Indiana Jones and the Last Crusade
