Genre,Original_Language,Release_Date,Vote_Average,Overview,Title
"Science Fiction, Thriller",en,2021-07-23,4.6,parents; appear; found,Settlers
"Animation, Comedy, Family",en,2022-02-02,6.7,1920s; film; order,Fireheart
"Animation, Family, Adventure, Action, Comedy, Drama",ja,2014-07-19,6.4,legendary; its; diamond,Pokémon the Movie: Diancie and the Cocoon of Destruction
Action,cn,2007-07-26,6.9,ring; protocols; ma,Flash Point
"Drama, Music",en,2022-06-22,0.0,presley; elvis; relationship,Elvis
"Comedy, Horror, Science Fiction",en,1988-05-27,6.4,crash; victims; cocoons,Killer Klowns from Outer Space
"Drama, Crime, History",en,2019-12-25,8.0,bryan; sentenced; walter,Just Mercy
"Thriller, Crime, Action",en,2009-06-10,6.3,hijack; faceoff; mastermind,The Taking of Pelham 1 2 3
"Action, Adventure, Comedy, Family",en,1999-07-23,4.4,badly; limbs; gadget,Inspector Gadget
"Fantasy, Horror, Thriller",en,1992-04-10,5.9,robertson; search; pawn,Sleepwalkers
"Comedy, Crime, Science Fiction",en,2002-07-26,6.0,pursuing; fight; goldmember,Austin Powers in Goldmember
"Drama, Thriller",en,2020-02-14,4.9,irancontra; activities; puts,The Last Thing He Wanted
Drama,en,2016-05-06,7.4,football; brazilian; legend,Pelé: Birth of a Legend
"Animation, Family, Adventure",en,2017-05-18,6.0,ocean; deepest; abyss,Deep
"Romance, Drama",en,2015-11-20,7.5,clerk; york; older,Carol
"Action, Adventure, Animation, Comedy, Romance",ja,1991-08-16,5.7,princess; moroboshi; lum,Urusei Yatsura: Always My Darling
"Drama, History, War",de,1993-01-20,7.3,platoon; german; leads,Stalingrad
"Drama, History",en,1960-07-07,7.8,hornbeck; adversary; defense,Inherit the Wind
"Crime, Mystery, Thriller",en,2002-09-09,6.8,ringing; york; slick,Phone Booth
"Animation, Family",en,2020-11-24,5.5,cancel; rescue; snowfall,Dragons: Rescue Riders: Huttsgalor Holiday
"Action, Crime, Horror",ja,2001-12-22,7.1,killer; comes; may,Ichi the Killer
"Fantasy, Animation, Family",it,2007-11-29,6.9,evil; bring; destiny,Winx Club: The Secret of the Lost Kingdom
"Crime, Drama, Thriller",en,2002-07-12,7.4,son; mike; works,Road to Perdition
"Fantasy, Animation, Horror, Action",en,2022-05-03,0.0,mystery; how; unfortunately,Constantine: The House of Mystery
"Romance, Drama",en,2020-10-16,7.7,people; together; bring,2 Hearts
"Horror, Science Fiction, Thriller",en,2000-08-17,6.3,inside; killer; victim,The Cell
Documentary,en,2021-02-12,7.6,–; outside; we,Marvel's Behind the Mask
"Action, Thriller, Drama",en,2022-03-04,6.0,flame; date; vernon,Asking For It
"Animation, Family, Music",en,1944-07-21,6.4,donald's; box; gifts,The Three Caballeros
"Action, Drama",ja,2021-07-09,8.0,suddenly; middle; delinquent,Tokyo Revengers
"Action, Science Fiction",en,1971-05-20,6.3,intrigued; appearance; until,Escape from the Planet of the Apes
Comedy,es,2016-03-17,6.9,until; refuses; entire,The Bribe of Heaven
"Romance, History",en,2019-06-28,7.3,captures; true; threaten,Ophelia
"Drama, Thriller, Crime",en,2004-09-30,7.0,regime; drug; old,Layer Cake
"Comedy, Drama, Romance",en,2017-09-07,6.1,unexpected; turn; single,Home Again
"Music, Documentary",en,2017-03-11,6.8,test; taking; dna,Residente
"Drama, Thriller",en,1996-07-17,6.5,try; car; sexual,Crash
"Animation, Drama, Family, Fantasy",en,1994-03-29,6.5,creatures; tiny; prince,Thumbelina
Horror,en,2005-07-08,5.5,there; roosevelt; ceiling,Dark Water
Horror,en,2015-10-01,5.4,band; train; order,Howl
"Science Fiction, Action",en,1996-05-02,4.0,involving; owner; plot,Barb Wire
"Adventure, Comedy, Drama",en,2016-03-31,7.7,bush; forced; zealand,Hunt for the Wilderpeople
"Horror, Science Fiction",en,1998-12-25,6.5,some; confirms; really,The Faculty
"Action, Adventure, Comedy, Family",en,1991-08-09,5.0,(cindy; circus; won't,Bingo
"Action, Comedy, Science Fiction",en,2017-01-17,4.2,population; control; government,Death Race 2050
"Comedy, Romance",en,2008-04-30,6.4,tom; tom; engaged,Made of Honor
"Action, Adventure, Science Fiction",en,2003-11-26,5.7,enough; past; france,Timeline
Comedy,en,2015-06-26,6.3,neither; twelve; meet,Sleeping with Other People
Comedy,it,2001-01-26,5.2,trip; turns; then,Sexy Comedy
"Action, Drama, Thriller, War",en,2001-11-30,6.3,officer; mission; ruthless,Behind Enemy Lines
"Thriller, Romance",tl,2022-01-14,5.8,exboss; cash; earth,Hugas
"Comedy, Romance",en,1984-08-15,6.2,consider; adultery; tries,The Woman in Red
"Animation, Action, Science Fiction, Adventure",ja,2013-12-30,6.5,hope; land; menace,Neppuu Kairiku Bushi Road
"Drama, Thriller, Adventure, Horror",en,2017-10-06,6.4,hours; daughter; 48,Cargo
Action,en,2018-01-12,5.7,late; too; corrupt,Acts of Violence
"Documentary, Music",en,2015-03-23,7.8,like; famed; fully,Cobain: Montage of Heck
"Drama, Comedy",en,2021-02-12,5.8,12; inheritance; says,French Exit
"Adventure, Action, Romance, Drama",en,1990-06-27,6.3,rivalry; fear; might,Days of Thunder
"Adventure, Animation, Family, Fantasy",en,1996-04-12,6.5,crocodile; away; magic,James and the Giant Peach
"Comedy, Drama",en,1997-12-25,7.0,final; until; president,Wag the Dog
"Family, Science Fiction, Adventure",en,1986-07-30,6.9,david; hasn't; gets,Flight of the Navigator
"Action, Comedy",en,2017-05-03,5.4,strengthened; journey; spontaneous,Snatched
"Romance, Comedy",pt,2021-11-18,6.3,heart?; size; lawyer,Just Short of Perfect
"Drama, Horror, Thriller",en,2007-04-27,5.8,share; people; upon,Wind Chill
"Drama, History",en,2006-05-24,6.6,betrothal; reign; 19,Marie Antoinette
Horror,en,2020-10-28,6.3,different; our; else,Come Play
"Comedy, Family",en,1961-05-13,7.1,reunited; parents; twin,The Parent Trap
"Drama, Romance",en,2014-10-15,7.5,pair; return; reunite,The Best of Me
Drama,fr,2016-08-26,7.2,louis; terminally; tell,It's Only the End of the World
"Comedy, Family, Music, Romance",en,1982-06-11,5.1,pink; stephanie?; grease,Grease 2
"Comedy, Animation, Adventure",es,2014-08-30,6.5,population; criminal; mortadelo,Mortadelo and Filemon: Mission Implausible
"Drama, History",en,1965-02-15,6.4,upon; treatment; judas,The Greatest Story Ever Told
"Drama, Thriller",en,2015-05-31,5.9,blind; date; person,Return to Sender
"Comedy, Horror, Action, Crime",en,2018-04-29,6.4,provided; fierce; teamup,Daphne & Velma
"Comedy, Drama, Romance",en,1996-12-13,6.9,possible; commission; sports,Jerry Maguire
"Science Fiction, Drama, Mystery, Thriller",en,2018-09-26,5.8,struggle; isolation; live,High Life
"Thriller, Horror",es,2011-10-14,7.1,very; relationship; barcelona,Sleep Tight
"Animation, Fantasy, Horror",ja,1985-12-21,6.6,farfuture; hunter; ruled,Vampire Hunter D
"Drama, History",en,2009-09-25,6.4,foundation; darwin; evolutionary,Creation
"Action, Adventure, Comedy, Western",en,2003-02-06,6.1,london; there; royal,Shanghai Knights
"Action, Thriller, War, Drama",zh,2018-02-16,6.9,peninsula; carries; rescue,Operation Red Sea
"Comedy, Horror",en,2014-09-04,5.5,girlfriend; bus; dies,Burying the Ex
"Music, Romance, Drama",en,2016-04-08,7.1,could; competition; hop,High Strung
Action,en,2019-02-01,6.4,require; surviving; crossborder,Miss Bala
"Crime, Drama, Thriller",en,1993-11-24,7.5,escaped; marshal; friendship,A Perfect World
"Drama, Romance",en,2003-12-19,6.9,1953; boyfriend; college,Mona Lisa Smile
"Horror, Thriller",en,2018-04-20,5.7,escape; isolation; agatha,St. Agatha
Comedy,en,1997-02-13,6.1,hits; mecca; vacation,Vegas Vacation
"Drama, Romance",en,1995-08-11,7.2,pregnant; husband; ii,A Walk in the Clouds
Drama,en,1974-02-24,5.6,psychological; desires; sexual,Porno Baby
"Western, Action, Fantasy, Horror",en,2017-08-30,5.0,soldiers; bring; dark,Dead Again in Tombstone
"Family, Comedy, Action",fr,2016-11-11,5.9,together; escapes; cars,Full Speed
Drama,fr,2014-10-01,6.4,muslim; attempt; identity,The Apostle
"Romance, Drama",en,1989-12-22,5.3,encounter; off; erotic,Wild Orchid
"Crime, Comedy, Drama",en,2019-07-12,6.0,teams; sexy; behind,Lying and Stealing
"Action, Crime, Thriller",en,2016-09-23,4.9,former; guard—and; mall,End of a Gun
"Adventure, Animation, Comedy, Family, Fantasy",en,2006-10-20,5.1,headed; underworld; apart,Casper's Scare School
"Comedy, Action",en,1997-01-17,5.6,chance; clan; given,Beverly Hills Ninja
Comedy,en,2015-06-03,6.2,super; ambitions; hollywood,Entourage
"Crime, Drama",en,2003-09-20,7.1,malevolent; students; others,Elephant
